ATLAS17mini4_IT
IV Measurement
Measurement started at 15:05:16.047 28/03/2019 by Cameron(Kostas) on epllt004.

current vs time ATLAS17 mini 4
Alibava
ISO7

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4363651
C34 Sep 21 2016 15:30:00/A02  /K/M

Keithley Current Range: 1.05uA (Auto on)
Keithley Source Voltage Range: 1.1kV
Compliance Level: 20uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
15:05:16.047	-5E+1	-1.473531E-6
15:05:17.216	0E+0	5.957294E-9
15:05:18.385	0E+0	5.197E-9
15:05:19.385	0E+0	5.289186E-9
15:05:20.385	0E+0	5.147466E-9
15:05:21.385	0E+0	5.312006E-9
15:05:22.385	0E+0	5.915172E-9
15:05:23.385	0E+0	5.538021E-9
15:05:24.385	0E+0	5.518918E-9
15:05:25.385	0E+0	5.542764E-9
15:05:26.385	0E+0	5.487323E-9
15:05:27.385	0E+0	5.565931E-9
15:05:28.385	0E+0	5.557899E-9
15:05:29.385	0E+0	5.793436E-9
15:05:30.385	0E+0	5.591698E-9
15:05:31.384	0E+0	5.436959E-9
15:05:32.384	0E+0	5.389075E-9
15:05:33.384	0E+0	5.758636E-9
15:05:34.384	0E+0	5.485711E-9
15:05:35.385	0E+0	5.782086E-9
15:05:36.385	0E+0	5.659623E-9
15:05:37.385	0E+0	5.687548E-9
15:05:38.385	0E+0	5.519446E-9
15:05:39.385	0E+0	5.677324E-9
15:05:40.385	0E+0	5.767502E-9
15:05:41.385	0E+0	5.749567E-9
15:05:42.385	0E+0	5.633093E-9
15:05:43.385	0E+0	5.622746E-9
15:05:44.385	0E+0	5.689384E-9
15:05:45.385	0E+0	5.663224E-9
15:05:46.385	0E+0	5.800887E-9
15:05:47.385	0E+0	5.515084E-9
15:05:48.385	0E+0	5.571585E-9
15:05:49.384	0E+0	5.311837E-9
15:05:50.384	0E+0	5.633293E-9
15:05:51.384	0E+0	5.286374E-9
15:05:52.385	0E+0	5.601801E-9
15:05:53.385	0E+0	5.570009E-9
15:05:54.385	0E+0	5.53957E-9
15:05:55.385	0E+0	5.462527E-9
15:05:56.385	0E+0	5.425246E-9
15:05:57.385	0E+0	5.279745E-9
15:05:58.385	0E+0	5.083801E-9
15:05:59.385	0E+0	5.468519E-9
15:06:00.385	0E+0	5.426953E-9
15:06:01.385	0E+0	5.295253E-9
15:06:02.385	0E+0	5.310443E-9
15:06:03.385	0E+0	5.782029E-9
15:06:04.385	0E+0	5.479466E-9
15:06:05.385	0E+0	5.795467E-9
15:06:06.384	0E+0	5.749422E-9
15:06:07.384	0E+0	5.733669E-9
15:06:08.384	0E+0	5.464979E-9
15:06:09.384	0E+0	5.42913E-9
15:06:10.385	0E+0	5.30463E-9
15:06:11.385	0E+0	5.524779E-9
15:06:12.385	0E+0	5.299592E-9
15:06:13.385	0E+0	5.286744E-9
15:06:14.385	0E+0	5.567038E-9
15:06:15.385	0E+0	5.463895E-9
15:06:16.385	0E+0	5.459028E-9
15:06:17.385	0E+0	5.686729E-9
15:06:18.385	0E+0	5.639633E-9
15:06:19.385	0E+0	5.659381E-9
15:06:20.385	0E+0	5.441117E-9
15:06:21.385	0E+0	5.564399E-9
15:06:22.385	0E+0	5.323674E-9
15:06:23.384	0E+0	5.136243E-9
15:06:24.384	0E+0	5.573356E-9
15:06:25.384	0E+0	5.639187E-9
15:06:26.384	0E+0	5.705187E-9
15:06:27.385	0E+0	5.403567E-9
15:06:28.385	0E+0	5.727178E-9
15:06:29.385	0E+0	5.586208E-9
15:06:30.385	0E+0	5.595426E-9
15:06:31.385	0E+0	5.459698E-9
15:06:32.385	0E+0	5.71276E-9
15:06:33.385	0E+0	5.464625E-9
15:06:34.385	0E+0	5.217982E-9
15:06:35.385	0E+0	5.090744E-9
15:06:36.385	0E+0	5.307483E-9
15:06:37.385	0E+0	5.181505E-9
15:06:38.385	0E+0	5.560068E-9
15:06:39.385	0E+0	5.247454E-9
15:06:40.385	0E+0	5.319195E-9
15:06:41.384	0E+0	5.072444E-9
15:06:42.384	0E+0	5.416438E-9
15:06:43.384	0E+0	5.4618E-9
