ATLAS12_p2_PreAnneal
IV Measurement
Measurement started at 17:06:17.487 11/02/2019 by Cameron(Kostas) on epllt004.

-29.7
Alibava
ISO7

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4363651
C34 Sep 21 2016 15:30:00/A02  /K/M

Keithley Current Range: 10.5uA (Auto on)
Keithley Source Voltage Range: 1.1kV
Compliance Level: 1uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
17:06:17.487	0E+0	-2.532128E-8
17:06:18.487	0E+0	-2.466142E-8
17:06:19.487	0E+0	-2.448818E-8
17:06:20.487	0E+0	-2.506549E-8
17:06:21.487	0E+0	-2.45851E-8
17:06:24.497	0E+0	-2.478064E-8
17:06:25.968	-5E+1	-2.751935E-6
17:06:27.438	-5E+1	-2.737955E-6
17:06:28.438	-5E+1	-2.73129E-6
17:06:29.438	-5E+1	-2.727148E-6
17:06:32.452	-5E+1	-2.72317E-6
17:06:33.453	-1E+2	-3.770654E-6
17:06:34.453	-1E+2	-3.761621E-6
17:06:35.453	-1E+2	-3.760443E-6
17:06:36.453	-1E+2	-3.756326E-6
17:06:39.461	-1E+2	-3.752332E-6
17:06:40.461	-1.5E+2	-4.581484E-6
17:06:41.461	-1.5E+2	-4.574357E-6
17:06:42.461	-1.5E+2	-4.567838E-6
17:06:43.462	-1.5E+2	-4.566877E-6
17:06:46.471	-1.5E+2	-4.565169E-6
17:06:47.472	-2E+2	-5.237322E-6
17:06:48.471	-2E+2	-5.229527E-6
17:06:49.471	-2E+2	-5.228739E-6
17:06:50.471	-2E+2	-5.227681E-6
17:06:53.482	-2E+2	-5.221451E-6
17:06:54.482	-2.5E+2	-5.726673E-6
17:06:55.482	-2.5E+2	-5.726326E-6
17:06:56.482	-2.5E+2	-5.722819E-6
17:06:57.482	-2.5E+2	-5.716658E-6
17:07:00.492	-2.5E+2	-5.718422E-6
17:07:01.493	-3E+2	-6.070639E-6
17:07:02.493	-3E+2	-6.066705E-6
17:07:03.493	-3E+2	-6.064725E-6
17:07:04.493	-3E+2	-6.060717E-6
17:07:07.501	-3E+2	-6.061326E-6
17:07:08.502	-3.5E+2	-6.319648E-6
17:07:09.502	-3.5E+2	-6.317335E-6
17:07:10.502	-3.5E+2	-6.313889E-6
17:07:11.502	-3.5E+2	-6.311725E-6
17:07:14.510	-3.5E+2	-6.312383E-6
17:07:15.510	-4E+2	-6.518475E-6
17:07:16.510	-4E+2	-6.516775E-6
17:07:17.510	-4E+2	-6.514492E-6
17:07:18.511	-4E+2	-6.513486E-6
17:07:21.521	-4E+2	-6.511596E-6
17:07:22.522	-4.5E+2	-6.687689E-6
17:07:23.521	-4.5E+2	-6.686612E-6
17:07:24.521	-4.5E+2	-6.683098E-6
17:07:25.521	-4.5E+2	-6.682174E-6
17:07:28.527	-4.5E+2	-6.680319E-6
17:07:29.527	-5E+2	-6.835806E-6
17:07:30.527	-5E+2	-6.832253E-6
17:07:31.527	-5E+2	-6.831496E-6
17:07:32.527	-5E+2	-6.832441E-6
17:07:35.533	-5E+2	-6.829207E-6
17:07:36.533	-5.5E+2	-6.970573E-6
17:07:37.533	-5.5E+2	-6.970057E-6
17:07:38.533	-5.5E+2	-6.969158E-6
17:07:39.533	-5.5E+2	-6.965271E-6
17:07:42.540	-5.5E+2	-6.965835E-6
17:07:43.541	-6E+2	-7.105722E-6
17:07:44.541	-6E+2	-7.095248E-6
17:07:45.541	-6E+2	-7.095409E-6
17:07:46.541	-6E+2	-7.092033E-6
17:07:49.546	-6E+2	-7.094184E-6
17:07:50.546	-6.5E+2	-7.220489E-6
17:07:51.546	-6.5E+2	-7.219391E-6
17:07:52.546	-6.5E+2	-7.218689E-6
17:07:53.547	-6.5E+2	-7.217771E-6
17:07:56.556	-6.5E+2	-7.216616E-6
17:07:57.557	-7E+2	-7.342119E-6
17:07:58.556	-7E+2	-7.340692E-6
17:07:59.556	-7E+2	-7.338489E-6
17:08:00.556	-7E+2	-7.338523E-6
17:08:03.562	-7E+2	-7.338899E-6
17:08:04.562	-7.5E+2	-7.462797E-6
17:08:05.562	-7.5E+2	-7.468701E-6
17:08:06.562	-7.5E+2	-7.464704E-6
17:08:07.562	-7.5E+2	-7.460141E-6
17:08:10.572	-7.5E+2	-7.459303E-6
17:08:11.572	-8E+2	-7.586582E-6
17:08:12.572	-8E+2	-7.581574E-6
17:08:13.572	-8E+2	-7.582227E-6
17:08:14.572	-8E+2	-7.581484E-6
17:08:17.582	-8E+2	-7.581172E-6
17:08:18.583	-8.5E+2	-7.708844E-6
17:08:19.583	-8.5E+2	-7.707956E-6
17:08:20.583	-8.5E+2	-7.706908E-6
17:08:21.583	-8.5E+2	-7.705692E-6
17:08:24.591	-8.5E+2	-7.7054E-6
17:08:25.591	-9E+2	-7.836624E-6
17:08:26.591	-9E+2	-7.836185E-6
17:08:27.591	-9E+2	-7.83546E-6
17:08:28.592	-9E+2	-7.834115E-6
17:08:31.599	-9E+2	-7.833891E-6
17:08:32.600	-9.5E+2	-7.974162E-6
17:08:33.599	-9.5E+2	-7.971473E-6
17:08:34.599	-9.5E+2	-7.969653E-6
17:08:35.599	-9.5E+2	-7.969699E-6
17:08:38.608	-9.5E+2	-7.968662E-6
17:08:39.608	-1E+3	-8.114971E-6
17:08:40.608	-1E+3	-8.114363E-6
17:08:41.608	-1E+3	-8.113046E-6
17:08:42.608	-1E+3	-8.112163E-6
