ATLAS12_p2_PostAnneal_newsettling
IV Measurement
Measurement started at 15:42:40.880 19/02/2019 by Cameron(Kostas) on epllt004.

-29.3C
Alibava
ISO7

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4363651
C34 Sep 21 2016 15:30:00/A02  /K/M

Keithley Current Range: 10.5uA (Auto on)
Keithley Source Voltage Range: 1.1kV
Compliance Level: 10uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
15:42:40.880	0E+0	3.28223E-8
15:42:42.097	0E+0	-1.090732E-9
15:42:43.280	0E+0	1.427026E-9
15:42:44.455	0E+0	-1.644372E-9
15:42:45.631	0E+0	1.651757E-9
15:42:55.829	-1E+1	-6.548858E-7
15:42:57.011	-1E+1	-6.536321E-7
15:42:58.195	-1E+1	-6.544485E-7
15:42:59.377	-1E+1	-6.547886E-7
15:43:00.560	-1E+1	-6.528966E-7
15:43:10.786	-2E+1	-1.021033E-6
15:43:12.117	-2E+1	-8.762669E-7
15:43:13.484	-2E+1	-1.009049E-6
15:43:14.850	-2E+1	-9.138193E-7
15:43:16.249	-2E+1	-9.010495E-7
15:43:26.540	-3E+1	-1.091862E-6
15:43:27.713	-3E+1	-1.065738E-6
15:43:28.881	-3E+1	-1.092844E-6
15:43:30.047	-3E+1	-1.077039E-6
15:43:31.215	-3E+1	-1.052165E-6
15:43:41.393	-4E+1	-1.195963E-6
15:43:42.565	-4E+1	-1.22834E-6
15:43:43.733	-4E+1	-1.23535E-6
15:43:44.901	-4E+1	-1.200416E-6
15:43:46.070	-4E+1	-1.20413E-6
15:43:56.242	-5E+1	-1.336081E-6
15:43:57.410	-5E+1	-1.359409E-6
15:43:58.578	-5E+1	-1.355858E-6
15:43:59.746	-5E+1	-1.326677E-6
15:44:00.913	-5E+1	-1.349931E-6
15:44:11.096	-6E+1	-1.441229E-6
15:44:12.272	-6E+1	-1.481706E-6
15:44:13.448	-6E+1	-1.452912E-6
15:44:14.623	-6E+1	-1.472344E-6
15:44:15.791	-6E+1	-1.473396E-6
15:44:25.963	-7E+1	-1.579357E-6
15:44:27.131	-7E+1	-1.586199E-6
15:44:28.299	-7E+1	-1.55511E-6
15:44:29.466	-7E+1	-1.575326E-6
15:44:30.643	-7E+1	-1.589997E-6
15:44:40.832	-8E+1	-1.681245E-6
15:44:42.015	-8E+1	-1.655875E-6
15:44:43.191	-8E+1	-1.668365E-6
15:44:44.367	-8E+1	-1.69034E-6
15:44:45.550	-8E+1	-1.667346E-6
15:44:55.729	-9E+1	-1.74598E-6
15:44:56.898	-9E+1	-1.748376E-6
15:44:58.066	-9E+1	-1.761865E-6
15:44:59.234	-9E+1	-1.78581E-6
15:45:00.402	-9E+1	-1.758576E-6
15:45:10.582	-1E+2	-1.872146E-6
15:45:11.757	-1E+2	-1.845056E-6
15:45:12.925	-1E+2	-1.875362E-6
15:45:14.093	-1E+2	-1.841765E-6
15:45:15.261	-1E+2	-1.835573E-6
15:45:25.432	-1.1E+2	-1.952178E-6
15:45:26.600	-1.1E+2	-1.924516E-6
15:45:27.768	-1.1E+2	-1.932976E-6
15:45:28.936	-1.1E+2	-1.964502E-6
15:45:30.112	-1.1E+2	-1.955891E-6
15:45:40.301	-1.2E+2	-2.008558E-6
15:45:41.485	-1.2E+2	-2.004281E-6
15:45:42.660	-1.2E+2	-2.043601E-6
15:45:43.828	-1.2E+2	-2.026196E-6
15:45:45.003	-1.2E+2	-2.003663E-6
15:45:55.184	-1.3E+2	-2.128492E-6
15:45:56.361	-1.3E+2	-2.124885E-6
15:45:57.537	-1.3E+2	-2.108118E-6
15:45:58.713	-1.3E+2	-2.100774E-6
15:45:59.897	-1.3E+2	-2.086764E-6
15:46:10.086	-1.4E+2	-2.189309E-6
15:46:11.269	-1.4E+2	-2.199086E-6
15:46:12.445	-1.4E+2	-2.160457E-6
15:46:13.613	-1.4E+2	-2.159505E-6
15:46:14.781	-1.4E+2	-2.189045E-6
15:46:24.963	-1.5E+2	-2.238633E-6
15:46:26.146	-1.5E+2	-2.246397E-6
15:46:27.322	-1.5E+2	-2.27524E-6
15:46:28.490	-1.5E+2	-2.278882E-6
15:46:29.658	-1.5E+2	-2.271463E-6
15:46:39.830	-1.6E+2	-2.314607E-6
15:46:41.007	-1.6E+2	-2.315275E-6
15:46:42.183	-1.6E+2	-2.321639E-6
15:46:43.351	-1.6E+2	-2.35059E-6
15:46:44.527	-1.6E+2	-2.347795E-6
15:46:54.707	-1.7E+2	-2.394627E-6
15:46:55.875	-1.7E+2	-2.375252E-6
15:46:57.042	-1.7E+2	-2.413698E-6
15:46:58.211	-1.7E+2	-2.418044E-6
15:46:59.378	-1.7E+2	-2.383192E-6
15:47:09.551	-1.8E+2	-2.474548E-6
15:47:10.720	-1.8E+2	-2.470839E-6
15:47:11.887	-1.8E+2	-2.482061E-6
15:47:13.055	-1.8E+2	-2.468892E-6
15:47:14.223	-1.8E+2	-2.459179E-6
15:47:24.405	-1.9E+2	-2.51346E-6
15:47:25.580	-1.9E+2	-2.546459E-6
15:47:26.756	-1.9E+2	-2.525059E-6
15:47:27.940	-1.9E+2	-2.515459E-6
15:47:29.124	-1.9E+2	-2.506926E-6
15:47:39.313	-2E+2	-2.593772E-6
15:47:40.488	-2E+2	-2.591342E-6
15:47:41.655	-2E+2	-2.568618E-6
15:47:42.824	-2E+2	-2.577387E-6
15:47:43.992	-2E+2	-2.570803E-6
15:47:54.174	-2.1E+2	-2.660373E-6
15:47:55.349	-2.1E+2	-2.647003E-6
15:47:56.517	-2.1E+2	-2.640459E-6
15:47:57.685	-2.1E+2	-2.625388E-6
15:47:58.861	-2.1E+2	-2.633812E-6
15:48:09.049	-2.2E+2	-2.716228E-6
15:48:10.232	-2.2E+2	-2.706037E-6
15:48:11.408	-2.2E+2	-2.68891E-6
15:48:12.584	-2.2E+2	-2.681739E-6
15:48:13.759	-2.2E+2	-2.679401E-6
15:48:23.940	-2.3E+2	-2.7657E-6
15:48:25.124	-2.3E+2	-2.774173E-6
15:48:26.308	-2.3E+2	-2.765527E-6
15:48:27.491	-2.3E+2	-2.763558E-6
15:48:28.667	-2.3E+2	-2.734162E-6
15:48:38.840	-2.4E+2	-2.796193E-6
15:48:40.008	-2.4E+2	-2.799759E-6
15:48:41.176	-2.4E+2	-2.805595E-6
15:48:42.352	-2.4E+2	-2.808074E-6
15:48:43.536	-2.4E+2	-2.80632E-6
15:48:53.717	-2.5E+2	-2.825961E-6
15:48:54.885	-2.5E+2	-2.832643E-6
15:48:56.061	-2.5E+2	-2.835223E-6
