ATLAS17_mini3_PreAnneal
IV Measurement
Measurement started at 12:50:55.356 13/02/2019 by Cameron(Kostas) on epllt004.

-30.0
Alibava
ISO7

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4363651
C34 Sep 21 2016 15:30:00/A02  /K/M

Keithley Current Range: 1.05uA (Auto on)
Keithley Source Voltage Range: 1.1kV
Compliance Level: 30uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
12:50:55.356	0E+0	7.126522E-9
12:50:56.526	0E+0	9.848792E-9
12:50:57.694	0E+0	8.622673E-9
12:50:58.861	0E+0	9.695544E-9
12:51:00.030	0E+0	9.912558E-9
12:51:10.210	-1E+1	-3.169193E-7
12:51:11.393	-1E+1	-3.223301E-7
12:51:12.577	-1E+1	-3.201506E-7
12:51:13.760	-1E+1	-3.196403E-7
12:51:14.944	-1E+1	-3.193567E-7
12:51:25.134	-2E+1	-4.264991E-7
12:51:26.316	-2E+1	-4.277651E-7
12:51:27.500	-2E+1	-4.273587E-7
12:51:28.683	-2E+1	-4.282E-7
12:51:29.866	-2E+1	-4.256304E-7
12:51:40.053	-3E+1	-5.106183E-7
12:51:41.237	-3E+1	-5.104938E-7
12:51:42.421	-3E+1	-5.105022E-7
12:51:43.604	-3E+1	-5.086801E-7
12:51:44.788	-3E+1	-5.055236E-7
12:51:54.976	-4E+1	-5.788574E-7
12:51:56.160	-4E+1	-5.79402E-7
12:51:57.343	-4E+1	-5.802621E-7
12:51:58.519	-4E+1	-5.793511E-7
12:51:59.695	-4E+1	-5.80726E-7
12:52:09.874	-5E+1	-6.432336E-7
12:52:11.050	-5E+1	-6.396311E-7
12:52:12.235	-5E+1	-6.408031E-7
12:52:13.418	-5E+1	-6.403512E-7
12:52:14.601	-5E+1	-6.421124E-7
12:52:24.790	-6E+1	-6.982254E-7
12:52:25.965	-6E+1	-7.015234E-7
12:52:27.141	-6E+1	-6.967275E-7
12:52:28.325	-6E+1	-6.983699E-7
12:52:29.508	-6E+1	-6.971308E-7
12:52:39.696	-7E+1	-7.50282E-7
12:52:40.879	-7E+1	-7.499807E-7
12:52:42.063	-7E+1	-7.494161E-7
12:52:43.246	-7E+1	-7.499331E-7
12:52:44.430	-7E+1	-7.501343E-7
12:52:54.619	-8E+1	-8.005841E-7
12:52:55.802	-8E+1	-8.005511E-7
12:52:56.986	-8E+1	-8.000852E-7
12:52:58.170	-8E+1	-8.005603E-7
12:52:59.353	-8E+1	-7.994838E-7
12:53:09.615	-9E+1	-8.457868E-7
12:53:10.980	-9E+1	-8.13341E-7
12:53:12.316	-9E+1	-1.050004E-6
12:53:13.539	-9E+1	-1.041952E-6
12:53:14.723	-9E+1	-8.489321E-7
12:53:24.910	-1E+2	-9.68157E-7
12:53:26.086	-1E+2	-9.71634E-7
12:53:27.333	-1E+2	-8.769365E-7
12:53:28.692	-1E+2	-9.079654E-7
12:53:30.092	-1E+2	-9.039722E-7
12:53:40.504	-1.1E+2	-9.057605E-7
12:53:41.901	-1.1E+2	-9.262894E-7
12:53:43.299	-1.1E+2	-9.555364E-7
12:53:44.698	-1.1E+2	-9.094135E-7
12:53:46.089	-1.1E+2	-9.484758E-7
12:53:56.485	-1.2E+2	-9.819613E-7
12:53:57.876	-1.2E+2	-9.993507E-7
12:53:59.267	-1.2E+2	-9.654965E-7
12:54:00.547	-1.2E+2	-1.004448E-6
12:54:01.827	-1.2E+2	-9.916205E-7
12:54:12.112	-1.3E+2	-1.017653E-6
12:54:13.280	-1.3E+2	-1.009151E-6
12:54:14.448	-1.3E+2	-1.010203E-6
12:54:15.624	-1.3E+2	-1.017123E-6
12:54:16.808	-1.3E+2	-1.019214E-6
12:54:26.997	-1.4E+2	-1.044737E-6
12:54:28.173	-1.4E+2	-1.065532E-6
12:54:29.348	-1.4E+2	-1.059709E-6
12:54:30.524	-1.4E+2	-1.073212E-6
12:54:31.692	-1.4E+2	-1.086238E-6
12:54:41.865	-1.5E+2	-1.105718E-6
12:54:43.041	-1.5E+2	-1.091684E-6
12:54:44.225	-1.5E+2	-1.084009E-6
12:54:45.409	-1.5E+2	-1.089902E-6
12:54:46.584	-1.5E+2	-1.127022E-6
12:54:56.766	-1.6E+2	-1.151067E-6
12:54:57.941	-1.6E+2	-1.137103E-6
12:54:59.117	-1.6E+2	-1.140853E-6
12:55:00.301	-1.6E+2	-1.140195E-6
12:55:01.476	-1.6E+2	-1.120146E-6
12:55:11.658	-1.7E+2	-1.172837E-6
12:55:12.842	-1.7E+2	-1.162923E-6
12:55:14.017	-1.7E+2	-1.156508E-6
12:55:15.185	-1.7E+2	-1.155605E-6
12:55:16.361	-1.7E+2	-1.160699E-6
12:55:26.542	-1.8E+2	-1.192294E-6
12:55:27.710	-1.8E+2	-1.211138E-6
12:55:28.886	-1.8E+2	-1.223971E-6
12:55:30.070	-1.8E+2	-1.230149E-6
12:55:31.254	-1.8E+2	-1.230042E-6
12:55:41.434	-1.9E+2	-1.236778E-6
12:55:42.610	-1.9E+2	-1.246333E-6
12:55:43.786	-1.9E+2	-1.230887E-6
12:55:44.954	-1.9E+2	-1.24497E-6
12:55:46.130	-1.9E+2	-1.266874E-6
12:55:56.319	-2E+2	-1.312121E-6
12:55:57.495	-2E+2	-1.302381E-6
12:55:58.663	-2E+2	-1.295865E-6
12:55:59.831	-2E+2	-1.27971E-6
12:56:00.998	-2E+2	-1.27043E-6
12:56:11.170	-2.1E+2	-1.299881E-6
12:56:12.348	-2.1E+2	-1.298623E-6
12:56:13.522	-2.1E+2	-1.335208E-6
12:56:14.690	-2.1E+2	-1.32069E-6
12:56:15.858	-2.1E+2	-1.298239E-6
12:56:26.040	-2.2E+2	-1.335586E-6
12:56:27.215	-2.2E+2	-1.362325E-6
12:56:28.382	-2.2E+2	-1.38273E-6
12:56:29.551	-2.2E+2	-1.361871E-6
12:56:30.718	-2.2E+2	-1.335333E-6
12:56:40.901	-2.3E+2	-1.413792E-6
12:56:42.084	-2.3E+2	-1.40877E-6
12:56:43.259	-2.3E+2	-1.403717E-6
12:56:44.435	-2.3E+2	-1.398072E-6
12:56:45.619	-2.3E+2	-1.385508E-6
12:56:55.800	-2.4E+2	-1.407135E-6
12:56:56.968	-2.4E+2	-1.418451E-6
12:56:58.144	-2.4E+2	-1.411975E-6
12:56:59.328	-2.4E+2	-1.417577E-6
12:57:00.503	-2.4E+2	-1.445343E-6
12:57:10.685	-2.5E+2	-1.457051E-6
12:57:11.868	-2.5E+2	-1.474418E-6
12:57:13.051	-2.5E+2	-1.459294E-6
12:57:14.227	-2.5E+2	-1.442713E-6
12:57:15.402	-2.5E+2	-1.448737E-6
12:57:25.583	-2.6E+2	-1.509923E-6
12:57:26.751	-2.6E+2	-1.511705E-6
12:57:27.919	-2.6E+2	-1.512207E-6
12:57:29.087	-2.6E+2	-1.502085E-6
12:57:30.262	-2.6E+2	-1.503712E-6
12:57:40.443	-2.7E+2	-1.500816E-6
12:57:41.620	-2.7E+2	-1.501626E-6
12:57:42.796	-2.7E+2	-1.50148E-6
12:57:43.971	-2.7E+2	-1.504638E-6
12:57:45.147	-2.7E+2	-1.51324E-6
12:57:55.328	-2.8E+2	-1.57078E-6
12:57:56.503	-2.8E+2	-1.548912E-6
12:57:57.671	-2.8E+2	-1.537634E-6
12:57:58.838	-2.8E+2	-1.546025E-6
12:58:00.007	-2.8E+2	-1.537277E-6
12:58:10.179	-2.9E+2	-1.584167E-6
12:58:11.356	-2.9E+2	-1.56644E-6
12:58:12.531	-2.9E+2	-1.589699E-6
12:58:13.699	-2.9E+2	-1.602319E-6
12:58:14.875	-2.9E+2	-1.5855E-6
12:58:25.056	-3E+2	-1.595597E-6
12:58:26.224	-3E+2	-1.600354E-6
12:58:27.392	-3E+2	-1.618967E-6
12:58:28.560	-3E+2	-1.630091E-6
12:58:29.728	-3E+2	-1.612093E-6
12:58:39.900	-3.1E+2	-1.660921E-6
12:58:41.069	-3.1E+2	-1.650905E-6
12:58:42.236	-3.1E+2	-1.632193E-6
12:58:43.404	-3.1E+2	-1.623725E-6
12:58:44.572	-3.1E+2	-1.635234E-6
12:58:54.753	-3.2E+2	-1.656922E-6
12:58:55.929	-3.2E+2	-1.662546E-6
12:58:57.097	-3.2E+2	-1.667709E-6
12:58:58.273	-3.2E+2	-1.672969E-6
12:58:59.448	-3.2E+2	-1.68685E-6
12:59:09.620	-3.3E+2	-1.712264E-6
12:59:10.790	-3.3E+2	-1.704076E-6
12:59:11.966	-3.3E+2	-1.701743E-6
12:59:13.149	-3.3E+2	-1.709885E-6
12:59:14.325	-3.3E+2	-1.703022E-6
12:59:24.506	-3.4E+2	-1.713684E-6
12:59:25.681	-3.4E+2	-1.738291E-6
12:59:26.850	-3.4E+2	-1.729732E-6
12:59:28.026	-3.4E+2	-1.731764E-6
12:59:29.209	-3.4E+2	-1.734076E-6
12:59:39.389	-3.5E+2	-1.76304E-6
12:59:40.566	-3.5E+2	-1.766964E-6
12:59:41.750	-3.5E+2	-1.765196E-6
12:59:42.925	-3.5E+2	-1.743632E-6
12:59:44.093	-3.5E+2	-1.738092E-6
12:59:54.275	-3.6E+2	-1.784453E-6
12:59:55.450	-3.6E+2	-1.789105E-6
12:59:56.617	-3.6E+2	-1.775408E-6
12:59:57.785	-3.6E+2	-1.777838E-6
12:59:58.953	-3.6E+2	-1.771468E-6
13:00:09.135	-3.7E+2	-1.792141E-6
13:00:10.310	-3.7E+2	-1.812957E-6
13:00:11.478	-3.7E+2	-1.802163E-6
13:00:12.646	-3.7E+2	-1.789258E-6
13:00:13.822	-3.7E+2	-1.791929E-6
13:00:24.002	-3.8E+2	-1.816879E-6
13:00:25.178	-3.8E+2	-1.81766E-6
13:00:26.355	-3.8E+2	-1.838318E-6
13:00:27.531	-3.8E+2	-1.838726E-6
13:00:28.714	-3.8E+2	-1.838868E-6
13:00:38.894	-3.9E+2	-1.853478E-6
13:00:40.063	-3.9E+2	-1.843504E-6
13:00:41.231	-3.9E+2	-1.851583E-6
13:00:42.407	-3.9E+2	-1.85303E-6
13:00:43.591	-3.9E+2	-1.856664E-6
13:00:53.780	-4E+2	-1.867213E-6
13:00:54.956	-4E+2	-1.886209E-6
13:00:56.124	-4E+2	-1.875939E-6
13:00:57.299	-4E+2	-1.862289E-6
13:00:58.474	-4E+2	-1.88407E-6
13:01:08.647	-4.1E+2	-1.905589E-6
13:01:09.824	-4.1E+2	-1.901131E-6
13:01:10.998	-4.1E+2	-1.88516E-6
13:01:12.167	-4.1E+2	-1.88396E-6
13:01:13.335	-4.1E+2	-1.884986E-6
13:01:23.516	-4.2E+2	-1.910538E-6
13:01:24.691	-4.2E+2	-1.92727E-6
13:01:25.859	-4.2E+2	-1.924832E-6
13:01:27.028	-4.2E+2	-1.911947E-6
13:01:28.195	-4.2E+2	-1.91144E-6
13:01:38.368	-4.3E+2	-1.927264E-6
13:01:39.536	-4.3E+2	-1.935894E-6
13:01:40.704	-4.3E+2	-1.947399E-6
13:01:41.872	-4.3E+2	-1.929158E-6
13:01:43.048	-4.3E+2	-1.927489E-6
13:01:53.237	-4.4E+2	-1.968654E-6
13:01:54.413	-4.4E+2	-1.969047E-6
13:01:55.589	-4.4E+2	-1.968546E-6
13:01:56.773	-4.4E+2	-1.962746E-6
13:01:57.948	-4.4E+2	-1.969342E-6
13:02:08.120	-4.5E+2	-1.97302E-6
13:02:09.297	-4.5E+2	-1.989162E-6
13:02:10.480	-4.5E+2	-1.987765E-6
13:02:11.655	-4.5E+2	-1.977145E-6
13:02:12.823	-4.5E+2	-1.978768E-6
13:02:22.997	-4.6E+2	-2.007228E-6
13:02:24.165	-4.6E+2	-2.006695E-6
13:02:25.333	-4.6E+2	-2.002329E-6
13:02:26.508	-4.6E+2	-2.00592E-6
13:02:27.684	-4.6E+2	-2.003265E-6
13:02:37.866	-4.7E+2	-2.017364E-6
13:02:39.049	-4.7E+2	-2.025364E-6
13:02:40.225	-4.7E+2	-2.022464E-6
13:02:41.393	-4.7E+2	-2.014145E-6
13:02:42.561	-4.7E+2	-2.008387E-6
13:02:52.742	-4.8E+2	-2.041858E-6
13:02:53.917	-4.8E+2	-2.029182E-6
13:02:55.085	-4.8E+2	-2.02817E-6
13:02:56.252	-4.8E+2	-2.038561E-6
13:02:57.420	-4.8E+2	-2.041468E-6
13:03:07.602	-4.9E+2	-2.056835E-6
13:03:08.777	-4.9E+2	-2.044773E-6
13:03:09.945	-4.9E+2	-2.053287E-6
13:03:11.121	-4.9E+2	-2.059094E-6
13:03:12.297	-4.9E+2	-2.047631E-6
13:03:22.469	-5E+2	-2.060557E-6
13:03:23.638	-5E+2	-2.067004E-6
13:03:24.814	-5E+2	-2.067786E-6
13:03:25.989	-5E+2	-2.062474E-6
13:03:27.156	-5E+2	-2.060974E-6
13:03:37.329	-5.1E+2	-2.076651E-6
13:03:38.507	-5.1E+2	-2.081436E-6
13:03:39.682	-5.1E+2	-2.079423E-6
13:03:40.849	-5.1E+2	-2.079011E-6
13:03:42.017	-5.1E+2	-2.078339E-6
13:03:52.191	-5.2E+2	-2.094594E-6
13:03:53.367	-5.2E+2	-2.093957E-6
13:03:54.542	-5.2E+2	-2.105845E-6
13:03:55.710	-5.2E+2	-2.106399E-6
13:03:56.878	-5.2E+2	-2.10518E-6
13:04:07.059	-5.3E+2	-2.120291E-6
13:04:08.235	-5.3E+2	-2.123084E-6
13:04:09.403	-5.3E+2	-2.116836E-6
13:04:10.571	-5.3E+2	-2.109264E-6
13:04:11.747	-5.3E+2	-2.110159E-6
13:04:21.937	-5.4E+2	-2.128815E-6
13:04:23.111	-5.4E+2	-2.13865E-6
13:04:24.287	-5.4E+2	-2.137348E-6
13:04:25.463	-5.4E+2	-2.126133E-6
13:04:26.631	-5.4E+2	-2.127441E-6
13:04:36.803	-5.5E+2	-2.154542E-6
13:04:37.980	-5.5E+2	-2.152973E-6
13:04:39.164	-5.5E+2	-2.152976E-6
13:04:40.339	-5.5E+2	-2.149525E-6
13:04:41.516	-5.5E+2	-2.153154E-6
13:04:51.696	-5.6E+2	-2.167356E-6
13:04:52.873	-5.6E+2	-2.168E-6
13:04:54.048	-5.6E+2	-2.157223E-6
13:04:55.224	-5.6E+2	-2.156832E-6
13:04:56.408	-5.6E+2	-2.158482E-6
13:05:06.597	-5.7E+2	-2.170169E-6
13:05:07.772	-5.7E+2	-2.178779E-6
13:05:08.940	-5.7E+2	-2.182667E-6
13:05:10.108	-5.7E+2	-2.181586E-6
13:05:11.284	-5.7E+2	-2.181359E-6
13:05:21.474	-5.8E+2	-2.185167E-6
13:05:22.649	-5.8E+2	-2.192049E-6
13:05:23.825	-5.8E+2	-2.191016E-6
13:05:25.009	-5.8E+2	-2.189824E-6
13:05:26.193	-5.8E+2	-2.185274E-6
13:05:36.382	-5.9E+2	-2.209902E-6
13:05:37.557	-5.9E+2	-2.201047E-6
13:05:38.725	-5.9E+2	-2.202441E-6
13:05:39.893	-5.9E+2	-2.201676E-6
13:05:41.069	-5.9E+2	-2.200852E-6
13:05:51.250	-6E+2	-2.213427E-6
13:05:52.426	-6E+2	-2.213724E-6
13:05:53.609	-6E+2	-2.216422E-6
13:05:54.785	-6E+2	-2.2246E-6
13:05:55.952	-6E+2	-2.223179E-6
13:06:06.135	-6.1E+2	-2.227915E-6
13:06:07.318	-6.1E+2	-2.23447E-6
13:06:08.492	-6.1E+2	-2.226147E-6
13:06:09.661	-6.1E+2	-2.226093E-6
13:06:10.838	-6.1E+2	-2.22785E-6
13:06:21.027	-6.2E+2	-2.237996E-6
13:06:22.202	-6.2E+2	-2.248217E-6
13:06:23.378	-6.2E+2	-2.248457E-6
13:06:24.562	-6.2E+2	-2.247959E-6
13:06:25.737	-6.2E+2	-2.239974E-6
13:06:35.911	-6.3E+2	-2.263904E-6
13:06:37.087	-6.3E+2	-2.258048E-6
13:06:38.262	-6.3E+2	-2.251818E-6
13:06:39.429	-6.3E+2	-2.261237E-6
13:06:40.597	-6.3E+2	-2.259986E-6
13:06:50.770	-6.4E+2	-2.273549E-6
13:06:51.947	-6.4E+2	-2.273073E-6
13:06:53.122	-6.4E+2	-2.274003E-6
13:06:54.290	-6.4E+2	-2.26928E-6
13:06:55.458	-6.4E+2	-2.264092E-6
13:07:05.640	-6.5E+2	-2.280055E-6
13:07:06.815	-6.5E+2	-2.287609E-6
13:07:07.983	-6.5E+2	-2.278856E-6
13:07:09.151	-6.5E+2	-2.281101E-6
13:07:10.327	-6.5E+2	-2.286738E-6
13:07:20.507	-6.6E+2	-2.3E-6
13:07:21.676	-6.6E+2	-2.299914E-6
13:07:22.851	-6.6E+2	-2.301439E-6
13:07:24.026	-6.6E+2	-2.291317E-6
13:07:25.194	-6.6E+2	-2.288745E-6
13:07:35.376	-6.7E+2	-2.306819E-6
13:07:36.551	-6.7E+2	-2.303583E-6
13:07:37.727	-6.7E+2	-2.303243E-6
13:07:38.910	-6.7E+2	-2.304151E-6
