10Mrad PostAnneal
IV Measurement
Measurement started at 14:35:17.418 16/11/2018 by Cameron(Kostas) on epllt004.


Alibava
ISO7

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4363651
C34 Sep 21 2016 15:30:00/A02  /K/M

Keithley Current Range: 1.05uA (Auto on)
Keithley Source Voltage Range: 1.1kV
Compliance Level: 30uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
14:35:17.418	0E+0	4.375763E-9
14:35:19.130	0E+0	4.133514E-9
14:35:20.841	0E+0	3.938915E-9
14:35:22.552	0E+0	3.899966E-9
14:35:24.263	0E+0	3.750936E-9
14:35:34.991	-5E+1	-1.225622E-9
14:35:36.705	-5E+1	-9.960144E-10
14:35:38.416	-5E+1	-8.109148E-10
14:35:40.127	-5E+1	-5.770331E-10
14:35:41.838	-5E+1	-3.865135E-10
14:35:52.561	-1E+2	-1.953013E-9
14:35:54.279	-1E+2	-1.889989E-9
14:35:55.990	-1E+2	-1.892174E-9
14:35:57.701	-1E+2	-1.415495E-9
14:35:59.412	-1E+2	-1.169392E-9
14:36:10.137	-1.5E+2	-2.733966E-9
14:36:11.854	-1.5E+2	-2.354947E-9
14:36:13.565	-1.5E+2	-2.281909E-9
14:36:15.276	-1.5E+2	-1.90381E-9
14:36:16.987	-1.5E+2	-1.49017E-9
14:36:27.711	-2E+2	-3.204867E-9
14:36:29.428	-2E+2	-2.711479E-9
14:36:31.139	-2E+2	-2.525679E-9
14:36:32.850	-2E+2	-2.264002E-9
14:36:34.561	-2E+2	-1.949127E-9
14:36:45.286	-2.5E+2	-3.609576E-9
14:36:47.003	-2.5E+2	-3.304854E-9
14:36:48.714	-2.5E+2	-2.997006E-9
14:36:50.425	-2.5E+2	-2.463638E-9
14:36:52.136	-2.5E+2	-2.351081E-9
14:37:02.860	-3E+2	-4.023605E-9
14:37:04.577	-3E+2	-3.425071E-9
14:37:06.288	-3E+2	-3.287444E-9
14:37:07.999	-3E+2	-2.728354E-9
14:37:09.710	-3E+2	-2.619009E-9
14:37:20.438	-3.5E+2	-4.087286E-9
14:37:22.152	-3.5E+2	-3.575997E-9
14:37:23.863	-3.5E+2	-3.133348E-9
14:37:25.574	-3.5E+2	-3.044304E-9
14:37:27.285	-3.5E+2	-2.91084E-9
14:37:38.010	-4E+2	-4.192062E-9
14:37:39.727	-4E+2	-3.527981E-9
14:37:41.438	-4E+2	-3.690392E-9
14:37:43.149	-4E+2	-3.290819E-9
14:37:44.860	-4E+2	-2.957531E-9
14:37:55.584	-4.5E+2	-4.238133E-9
14:37:57.301	-4.5E+2	-4.012669E-9
14:37:59.012	-4.5E+2	-3.753942E-9
14:38:00.724	-4.5E+2	-3.332839E-9
14:38:02.435	-4.5E+2	-3.149022E-9
14:38:13.160	-5E+2	-4.717841E-9
14:38:14.875	-5E+2	-4.440282E-9
14:38:16.586	-5E+2	-4.037785E-9
14:38:18.296	-5E+2	-4.162438E-9
14:38:20.008	-5E+2	-4.123156E-9
14:38:30.735	-5.5E+2	-6.09676E-9
14:38:32.450	-5.5E+2	-5.623847E-9
14:38:34.161	-5.5E+2	-5.316938E-9
14:38:35.872	-5.5E+2	-5.309184E-9
14:38:37.583	-5.5E+2	-5.376362E-9
14:38:48.308	-6E+2	-8.295388E-9
14:38:50.025	-6E+2	-7.977592E-9
14:38:51.736	-6E+2	-7.768404E-9
14:38:53.446	-6E+2	-7.881438E-9
14:38:55.157	-6E+2	-7.942463E-9
14:39:05.883	-6.5E+2	-1.215525E-8
14:39:07.599	-6.5E+2	-1.155914E-8
14:39:09.310	-6.5E+2	-1.143222E-8
14:39:11.021	-6.5E+2	-1.148672E-8
14:39:12.732	-6.5E+2	-1.139562E-8
14:39:23.458	-7E+2	-1.744973E-8
14:39:25.174	-7E+2	-1.709982E-8
14:39:26.885	-7E+2	-1.698838E-8
14:39:28.595	-7E+2	-1.691872E-8
14:39:30.306	-7E+2	-1.682414E-8
14:39:41.033	-7.5E+2	-2.44633E-8
14:39:42.748	-7.5E+2	-2.439775E-8
14:39:44.459	-7.5E+2	-2.435438E-8
14:39:46.170	-7.5E+2	-2.39745E-8
14:39:47.881	-7.5E+2	-2.370601E-8
14:39:58.596	-8E+2	-3.380402E-8
14:40:00.307	-8E+2	-3.375817E-8
14:40:02.018	-8E+2	-3.358842E-8
14:40:03.729	-8E+2	-3.328501E-8
14:40:05.440	-8E+2	-3.347775E-8
14:40:16.167	-8.5E+2	-4.658855E-8
14:40:17.881	-8.5E+2	-4.648049E-8
14:40:19.592	-8.5E+2	-4.639801E-8
14:40:21.303	-8.5E+2	-4.617938E-8
14:40:23.014	-8.5E+2	-4.592636E-8
14:40:33.742	-9E+2	-6.30074E-8
14:40:35.456	-9E+2	-6.267158E-8
14:40:37.167	-9E+2	-6.257321E-8
14:40:38.878	-9E+2	-6.255542E-8
14:40:40.589	-9E+2	-6.237083E-8
14:40:51.314	-9.5E+2	-8.486272E-8
14:40:53.030	-9.5E+2	-8.470798E-8
14:40:54.741	-9.5E+2	-8.465981E-8
14:40:56.452	-9.5E+2	-8.462223E-8
14:40:58.163	-9.5E+2	-8.444378E-8
14:41:08.888	-1E+3	-1.142218E-7
14:41:10.605	-1E+3	-1.141355E-7
14:41:12.316	-1E+3	-1.139776E-7
14:41:14.027	-1E+3	-1.138959E-7
14:41:15.738	-1E+3	-1.137532E-7
