ATLAS17 17.5Mrad PostAnneal
IV Measurement
Measurement started at 10:54:12.063 20/11/2018 by Cameron(Kostas) on epllt004.

-21.2C
Alibava
ISO7

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4363651
C34 Sep 21 2016 15:30:00/A02  /K/M

Keithley Current Range: 105uA (Auto on)
Keithley Source Voltage Range: 1.1kV
Compliance Level: 30uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
10:54:12.063	0E+0	1.889506E-9
10:54:13.063	0E+0	4.344328E-9
10:54:14.064	0E+0	5.23524E-9
10:54:15.064	0E+0	5.065329E-9
10:54:16.064	0E+0	1.998078E-9
10:54:26.071	0E+0	6.401067E-9
10:54:27.071	-5E+1	-2.128809E-9
10:54:28.071	-5E+1	-2.319266E-9
10:54:29.071	-5E+1	9.443851E-10
10:54:30.071	-5E+1	-1.23872E-9
10:54:40.077	-5E+1	-2.498599E-9
10:54:41.077	-1E+2	-4.639555E-9
10:54:42.077	-1E+2	-3.259931E-9
10:54:43.077	-1E+2	-1.530075E-9
10:54:44.077	-1E+2	-1.379841E-9
10:54:54.080	-1E+2	-4.41275E-9
10:54:55.080	-1.5E+2	-3.692406E-9
10:54:56.079	-1.5E+2	-4.727446E-9
10:54:57.079	-1.5E+2	-4.668574E-9
10:54:58.079	-1.5E+2	-6.168428E-9
10:55:08.084	-1.5E+2	-2.95987E-9
10:55:09.084	-2E+2	-6.791882E-9
10:55:10.084	-2E+2	-6.194942E-9
10:55:11.084	-2E+2	-6.06477E-9
10:55:12.084	-2E+2	-5.779298E-9
10:55:22.089	-2E+2	-4.56994E-9
10:55:23.089	-2.5E+2	-8.685924E-9
10:55:24.090	-2.5E+2	-6.065164E-9
10:55:25.090	-2.5E+2	-6.764742E-9
10:55:26.090	-2.5E+2	-6.336657E-9
10:55:36.092	-2.5E+2	-7.05383E-9
10:55:37.092	-3E+2	-9.965962E-9
10:55:38.092	-3E+2	-7.450775E-9
10:55:39.092	-3E+2	-6.853285E-9
10:55:40.092	-3E+2	-8.784084E-9
10:55:50.099	-3E+2	-6.546153E-9
10:55:51.099	-3.5E+2	-8.862695E-9
10:55:52.099	-3.5E+2	-7.653124E-9
10:55:53.099	-3.5E+2	-9.883531E-9
10:55:54.099	-3.5E+2	-8.783606E-9
10:56:04.102	-3.5E+2	-7.954012E-9
10:56:05.103	-4E+2	-9.135057E-9
10:56:06.102	-4E+2	-1.031252E-8
10:56:07.102	-4E+2	-7.673403E-9
10:56:08.102	-4E+2	-8.943466E-9
10:56:18.114	-4E+2	-8.032011E-9
10:56:19.114	-4.5E+2	-9.245097E-9
10:56:20.114	-4.5E+2	-1.080974E-8
10:56:21.114	-4.5E+2	-8.779925E-9
10:56:22.114	-4.5E+2	-9.650786E-9
10:56:32.121	-4.5E+2	-1.022736E-8
10:56:33.121	-5E+2	-9.762545E-9
10:56:34.122	-5E+2	-1.035415E-8
10:56:35.122	-5E+2	-1.041772E-8
10:56:36.122	-5E+2	-8.027444E-9
10:56:46.130	-5E+2	-1.121045E-8
10:56:47.130	-5.5E+2	-1.145254E-8
10:56:48.130	-5.5E+2	-1.112093E-8
10:56:49.130	-5.5E+2	-8.880598E-9
10:56:50.130	-5.5E+2	-1.220093E-8
10:57:00.141	-5.5E+2	-1.018007E-8
10:57:01.141	-6E+2	-1.046768E-8
10:57:02.141	-6E+2	-1.255549E-8
10:57:03.141	-6E+2	-1.360313E-8
10:57:04.141	-6E+2	-1.107428E-8
10:57:14.150	-6E+2	-1.319446E-8
10:57:15.149	-6.5E+2	-1.494574E-8
10:57:16.149	-6.5E+2	-1.330622E-8
10:57:17.149	-6.5E+2	-1.516543E-8
10:57:18.149	-6.5E+2	-1.262081E-8
10:57:28.157	-6.5E+2	-1.563646E-8
10:57:29.158	-7E+2	-1.647166E-8
10:57:30.158	-7E+2	-1.951752E-8
10:57:31.158	-7E+2	-1.663178E-8
10:57:32.158	-7E+2	-1.846172E-8
10:57:42.161	-7E+2	-1.626743E-8
10:57:43.161	-7.5E+2	-2.184645E-8
10:57:44.162	-7.5E+2	-2.395397E-8
10:57:45.162	-7.5E+2	-2.129002E-8
10:57:46.162	-7.5E+2	-2.390791E-8
10:57:56.167	-7.5E+2	-2.262432E-8
10:57:57.167	-8E+2	-2.983355E-8
10:57:58.167	-8E+2	-3.352003E-8
10:57:59.167	-8E+2	-3.026843E-8
10:58:00.167	-8E+2	-3.188542E-8
10:58:10.173	-8E+2	-3.033935E-8
10:58:11.173	-8.5E+2	-4.654726E-8
10:58:12.173	-8.5E+2	-4.41379E-8
10:58:13.173	-8.5E+2	-4.429934E-8
10:58:14.173	-8.5E+2	-4.460627E-8
10:58:24.188	-8.5E+2	-4.485374E-8
10:58:25.188	-9E+2	-6.295112E-8
10:58:26.188	-9E+2	-6.194829E-8
10:58:27.188	-9E+2	-6.34146E-8
10:58:28.188	-9E+2	-6.080466E-8
10:58:38.199	-9E+2	-6.340692E-8
10:58:39.200	-9.5E+2	-8.572424E-8
10:58:40.200	-9.5E+2	-8.326954E-8
10:58:41.200	-9.5E+2	-8.611472E-8
10:58:42.200	-9.5E+2	-8.364736E-8
10:58:52.208	-9.5E+2	-8.566433E-8
10:58:53.208	-1E+3	-1.135574E-7
10:58:54.209	-1E+3	-1.113529E-7
10:58:55.209	-1E+3	-1.135858E-7
10:58:56.210	-1E+3	-1.11886E-7
