35Mrad_PostAnneal
IV Measurement
Measurement started at 19:38:38.669 31/10/2018 by Cameron(Kostas) on epllt004.bham.ac.uk.

-24.1C
Alibava
ISO7

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4363651
C34 Sep 21 2016 15:30:00/A02  /K/M

Keithley Current Range: 105uA
Keithley Source Voltage Range: 1.1kV
Compliance Level: 30uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
19:38:38.669	0E+0	1.746484E-8
19:38:39.841	0E+0	-1.452837E-8
19:38:41.007	0E+0	-1.920807E-8
19:38:42.174	0E+0	-1.637143E-8
19:38:43.341	0E+0	-1.282964E-8
19:38:53.519	-5E+1	-4.488566E-9
19:38:54.693	-5E+1	1.699493E-8
19:38:55.862	-5E+1	-1.202978E-8
19:38:57.031	-5E+1	-1.320077E-8
19:38:58.199	-5E+1	7.046869E-9
19:39:08.374	-1E+2	7.574571E-9
19:39:09.542	-1E+2	-1.537771E-8
19:39:10.711	-1E+2	-5.23898E-9
19:39:11.879	-1E+2	1.213828E-8
19:39:13.048	-1E+2	-1.238023E-8
19:39:23.222	-1.5E+2	6.865413E-9
19:39:24.393	-1.5E+2	1.042328E-8
19:39:25.570	-1.5E+2	8.502118E-9
19:39:26.745	-1.5E+2	-1.389754E-8
19:39:27.913	-1.5E+2	1.112006E-8
19:39:38.088	-2E+2	-1.503961E-8
19:39:39.258	-2E+2	-1.467677E-8
19:39:40.426	-2E+2	7.215871E-9
19:39:41.595	-2E+2	-1.252453E-8
19:39:42.763	-2E+2	3.328191E-9
19:39:52.937	-2.5E+2	1.942973E-9
19:39:54.108	-2.5E+2	-1.191434E-8
19:39:55.276	-2.5E+2	-2.707413E-9
19:39:56.444	-2.5E+2	-7.547918E-9
19:39:57.612	-2.5E+2	-1.328732E-8
19:40:07.794	-3E+2	-3.973178E-9
19:40:08.969	-3E+2	4.482561E-9
19:40:10.137	-3E+2	-9.94348E-9
19:40:11.305	-3E+2	2.458314E-9
19:40:12.473	-3E+2	-3.577357E-9
19:40:22.654	-3.5E+2	2.796368E-9
19:40:23.837	-3.5E+2	-5.519347E-9
19:40:25.012	-3.5E+2	1.011237E-9
19:40:26.179	-3.5E+2	-9.531149E-9
19:40:27.346	-3.5E+2	2.219197E-9
19:40:37.529	-4E+2	-2.709066E-10
19:40:38.710	-4E+2	-3.672186E-9
19:40:39.885	-4E+2	-2.997698E-10
19:40:41.053	-4E+2	-6.187293E-9
19:40:42.221	-4E+2	-1.730334E-9
19:40:52.395	-4.5E+2	-7.090263E-9
19:40:53.564	-4.5E+2	-2.06015E-9
19:40:54.732	-4.5E+2	1.085461E-9
19:40:55.901	-4.5E+2	-3.222767E-9
19:40:57.078	-4.5E+2	-8.892083E-9
19:41:07.261	-5E+2	-3.771144E-9
19:41:08.431	-5E+2	-7.74997E-9
19:41:09.600	-5E+2	-7.086117E-9
19:41:10.769	-5E+2	6.731884E-10
19:41:11.936	-5E+2	-8.854927E-9
19:41:22.114	-5.5E+2	-1.515968E-9
19:41:23.282	-5.5E+2	-1.392275E-9
19:41:24.450	-5.5E+2	-6.859383E-9
19:41:25.619	-5.5E+2	6.731755E-10
19:41:26.788	-5.5E+2	-6.978945E-9
19:41:36.973	-6E+2	-6.888228E-9
19:41:38.149	-6E+2	-2.793989E-9
19:41:39.317	-6E+2	-8.549863E-9
19:41:40.485	-6E+2	1.578424E-10
19:41:41.654	-6E+2	-6.459433E-9
19:41:51.840	-6.5E+2	-5.966041E-10
19:41:53.016	-6.5E+2	-8.986877E-9
19:41:54.184	-6.5E+2	-2.373477E-9
19:41:55.352	-6.5E+2	-2.379286E-10
19:41:56.521	-6.5E+2	-7.300536E-9
19:42:06.697	-7E+2	-1.705607E-9
19:42:07.867	-7E+2	-1.812787E-9
19:42:09.035	-7E+2	-8.059193E-9
19:42:10.204	-7E+2	-1.491223E-9
19:42:11.381	-7E+2	-1.734457E-9
19:42:21.565	-7.5E+2	-3.103197E-9
19:42:22.734	-7.5E+2	-4.773067E-9
19:42:23.903	-7.5E+2	-1.055781E-8
19:42:25.080	-7.5E+2	-4.439091E-9
19:42:26.256	-7.5E+2	-6.995435E-9
19:42:36.431	-8E+2	-6.583118E-9
19:42:37.601	-8E+2	-9.766182E-9
19:42:38.770	-8E+2	-4.587521E-9
19:42:39.939	-8E+2	-6.26563E-9
19:42:41.107	-8E+2	-1.057429E-8
19:42:51.283	-8.5E+2	-1.252043E-8
19:42:52.452	-8.5E+2	-1.289153E-8
19:42:53.621	-8.5E+2	-8.335447E-9
19:42:54.789	-8.5E+2	-8.149906E-9
19:42:55.958	-8.5E+2	-9.696101E-9
19:43:06.133	-9E+2	-1.642917E-8
19:43:07.303	-9E+2	-1.536127E-8
19:43:08.471	-9E+2	-1.63096E-8
19:43:09.639	-9E+2	-1.155148E-8
19:43:10.809	-9E+2	-1.153498E-8
19:43:20.987	-9.5E+2	-2.039564E-8
19:43:22.163	-9.5E+2	-2.187161E-8
19:43:23.338	-9.5E+2	-1.712188E-8
19:43:24.507	-9.5E+2	-2.096453E-8
19:43:25.676	-9.5E+2	-2.095637E-8
19:43:35.854	-1E+3	-2.631648E-8
19:43:37.022	-1E+3	-2.554533E-8
19:43:38.190	-1E+3	-2.880277E-8
19:43:39.358	-1E+3	-2.474955E-8
19:43:40.527	-1E+3	-2.838629E-8
