52p5Mrad_PostAnneal
IV Measurement
Measurement started at 15:45:21.851 08/11/2018 by Cameron(Kostas) on epllt004.

-25.8C
Alibava
ISO7

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4363651
C34 Sep 21 2016 15:30:00/A02  /K/M

Keithley Current Range: 1.05uA (Auto on)
Keithley Source Voltage Range: 1.1kV
Compliance Level: 30uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
15:45:21.851	0E+0	8.811789E-9
15:45:23.025	0E+0	7.262698E-9
15:45:24.193	0E+0	2.934786E-9
15:45:25.361	0E+0	8.495741E-9
15:45:26.529	0E+0	6.268132E-9
15:45:36.705	-5E+1	1.56187E-9
15:45:37.876	-5E+1	3.319618E-10
15:45:39.045	-5E+1	-1.456094E-9
15:45:40.222	-5E+1	2.766728E-9
15:45:41.406	-5E+1	2.768755E-9
15:45:51.600	-1E+2	-1.86681E-9
15:45:52.784	-1E+2	-4.552938E-10
15:45:53.968	-1E+2	8.411892E-10
15:45:55.153	-1E+2	-9.838861E-10
15:45:56.337	-1E+2	4.341021E-12
15:46:06.520	-1.5E+2	-1.946066E-9
15:46:07.690	-1.5E+2	-2.11707E-9
15:46:08.858	-1.5E+2	-1.668441E-9
15:46:10.027	-1.5E+2	-5.666189E-10
15:46:11.204	-1.5E+2	1.127022E-9
15:46:21.388	-2E+2	-3.184222E-9
15:46:22.559	-2E+2	-2.019556E-9
15:46:23.726	-2E+2	-3.277868E-9
15:46:24.903	-2E+2	-2.953736E-9
15:46:26.079	-2E+2	-4.116724E-9
15:46:36.253	-2.5E+2	-2.465914E-9
15:46:37.425	-2.5E+2	-2.407027E-9
15:46:38.603	-2.5E+2	-2.326848E-9
15:46:39.787	-2.5E+2	-4.289115E-9
15:46:40.962	-2.5E+2	-3.135211E-9
15:46:51.139	-3E+2	-4.619294E-9
15:46:52.308	-3E+2	-2.755365E-9
15:46:53.476	-3E+2	-3.103574E-9
15:46:54.653	-3E+2	-2.165246E-9
15:46:55.829	-3E+2	-1.966125E-9
15:47:06.005	-3.5E+2	-2.618501E-9
15:47:07.175	-3.5E+2	-5.202289E-9
15:47:08.344	-3.5E+2	-4.540227E-9
15:47:09.521	-3.5E+2	-2.97155E-9
15:47:10.696	-3.5E+2	-2.684765E-9
15:47:20.882	-4E+2	-2.365192E-9
15:47:22.067	-4E+2	-2.704519E-9
15:47:23.243	-4E+2	-4.366257E-9
15:47:24.420	-4E+2	-4.214082E-9
15:47:25.596	-4E+2	-2.36844E-9
15:47:35.776	-4.5E+2	-5.406328E-9
15:47:36.955	-4.5E+2	-4.303092E-9
15:47:38.137	-4.5E+2	-3.688412E-9
15:47:39.321	-4.5E+2	-4.297767E-9
15:47:40.506	-4.5E+2	-4.661266E-9
15:47:50.688	-5E+2	-2.045399E-9
15:47:51.856	-5E+2	-1.082311E-9
15:47:53.025	-5E+2	-2.567887E-9
15:47:54.201	-5E+2	-3.873835E-9
15:47:55.385	-5E+2	-3.894066E-9
15:48:05.566	-5.5E+2	-4.13713E-9
15:48:06.745	-5.5E+2	-5.540871E-9
15:48:07.929	-5.5E+2	-4.029977E-9
15:48:09.113	-5.5E+2	-2.66475E-9
15:48:10.297	-5.5E+2	-3.363724E-9
15:48:20.488	-6E+2	-5.552074E-9
15:48:21.670	-6E+2	-5.280425E-9
15:48:22.852	-6E+2	-4.891428E-9
15:48:24.035	-6E+2	-3.437408E-9
15:48:25.218	-6E+2	-3.642055E-9
15:48:35.401	-6.5E+2	-5.606883E-9
15:48:36.578	-6.5E+2	-4.457037E-9
15:48:37.761	-6.5E+2	-3.155442E-9
15:48:38.943	-6.5E+2	-3.827015E-9
15:48:40.126	-6.5E+2	-5.207113E-9
15:48:50.308	-7E+2	-8.572122E-9
15:48:51.486	-7E+2	-6.87209E-9
15:48:52.669	-7E+2	-7.023427E-9
15:48:53.851	-7E+2	-6.186505E-9
15:48:55.033	-7E+2	-5.608499E-9
15:49:05.217	-7.5E+2	-1.073484E-8
15:49:06.394	-7.5E+2	-8.820264E-9
15:49:07.576	-7.5E+2	-8.653087E-9
15:49:08.759	-7.5E+2	-8.441557E-9
15:49:09.941	-7.5E+2	-8.422734E-9
15:49:20.123	-8E+2	-1.519837E-8
15:49:21.302	-8E+2	-1.597767E-8
15:49:22.484	-8E+2	-1.578642E-8
15:49:23.667	-8E+2	-1.553207E-8
15:49:24.849	-8E+2	-1.471042E-8
15:49:35.033	-8.5E+2	-2.357214E-8
15:49:36.209	-8.5E+2	-2.388527E-8
15:49:37.392	-8.5E+2	-2.246868E-8
15:49:38.574	-8.5E+2	-2.292185E-8
15:49:39.757	-8.5E+2	-2.295328E-8
15:49:49.938	-9E+2	-3.583127E-8
15:49:51.116	-9E+2	-3.738678E-8
15:49:52.299	-9E+2	-3.706945E-8
15:49:53.480	-9E+2	-3.575794E-8
15:49:54.663	-9E+2	-3.612175E-8
15:50:04.845	-9.5E+2	-5.087979E-8
15:50:06.023	-9.5E+2	-5.124458E-8
15:50:07.206	-9.5E+2	-5.294294E-8
15:50:08.388	-9.5E+2	-5.288387E-8
15:50:09.571	-9.5E+2	-5.295468E-8
15:50:19.754	-1E+3	-7.585379E-8
15:50:20.931	-1E+3	-7.290853E-8
15:50:22.114	-1E+3	-7.29994E-8
15:50:23.296	-1E+3	-7.272656E-8
15:50:24.478	-1E+3	-7.268291E-8
