70Mrad_PostAnneal
IV Measurement
Measurement started at 15:28:34.026 06/11/2018 by Cameron(Kostas) on epllt004.bham.ac.uk.

-29.3C
Alibava
ISO7

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4363651
C34 Sep 21 2016 15:30:00/A02  /K/M

Keithley Current Range: 1.05uA (Auto on)
Keithley Source Voltage Range: 1.1kV
Compliance Level: 30uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
15:28:34.026	0E+0	2.696994E-9
15:28:35.201	0E+0	-9.316735E-10
15:28:36.376	0E+0	-1.174603E-9
15:28:37.559	0E+0	2.329794E-11
15:28:38.733	0E+0	3.115736E-9
15:28:48.910	-1E+1	1.06106E-9
15:28:50.090	-1E+1	-9.740875E-10
15:28:51.272	-1E+1	-3.236146E-9
15:28:52.455	-1E+1	-2.443316E-9
15:28:53.638	-1E+1	-2.562022E-9
15:29:03.828	-2E+1	-9.20678E-8
15:29:05.008	-2E+1	-9.366082E-8
15:29:06.191	-2E+1	-9.161585E-8
15:29:07.375	-2E+1	-8.910938E-8
15:29:08.558	-2E+1	-9.110155E-8
15:29:18.746	-3E+1	-7.318731E-7
15:29:19.928	-3E+1	-7.112025E-7
15:29:21.111	-3E+1	-7.135375E-7
15:29:22.293	-3E+1	-7.216659E-7
15:29:23.477	-3E+1	-7.31862E-7
15:29:33.737	-4E+1	-2.267978E-6
15:29:34.983	-4E+1	-2.15492E-6
15:29:36.158	-4E+1	-2.139392E-6
15:29:37.333	-4E+1	-2.119997E-6
15:29:38.500	-4E+1	-2.148606E-6
15:29:48.679	-5E+1	-4.366834E-6
15:29:49.853	-5E+1	-4.374918E-6
15:29:51.029	-5E+1	-4.361085E-6
15:29:52.204	-5E+1	-4.303204E-6
15:29:53.379	-5E+1	-4.279459E-6
15:30:03.567	-6E+1	-7.017902E-6
15:30:04.746	-6E+1	-6.936803E-6
15:30:05.920	-6E+1	-6.960539E-6
15:30:07.087	-6E+1	-6.941602E-6
15:30:08.263	-6E+1	-6.94549E-6
15:30:18.467	-7E+1	-9.771826E-6
15:30:19.646	-7E+1	-9.799035E-6
15:30:20.821	-7E+1	-9.82246E-6
15:30:21.996	-7E+1	-9.871289E-6
15:30:23.171	-7E+1	-9.842341E-6
15:30:33.382	-8E+1	-1.326772E-5
15:30:34.596	-8E+1	-1.291352E-5
15:30:35.779	-8E+1	-1.29073E-5
15:30:36.954	-8E+1	-1.284331E-5
15:30:38.130	-8E+1	-1.285756E-5
15:30:48.316	-9E+1	-1.60358E-5
15:30:49.498	-9E+1	-1.597599E-5
15:30:50.681	-9E+1	-1.597977E-5
15:30:51.856	-9E+1	-1.603915E-5
15:30:53.032	-9E+1	-1.601745E-5
15:31:03.231	-1E+2	-1.941383E-5
15:31:04.411	-1E+2	-1.938967E-5
15:31:05.593	-1E+2	-1.937111E-5
15:31:06.768	-1E+2	-1.940505E-5
15:31:07.942	-1E+2	-1.944342E-5
