ATLAS17_10Mrad
IV Measurement
Measurement started at 17:20:35.794 25/10/2018 by Cameron(Kostas) on epllt004.

Gamma Irradiated, Pre-annnealing, T = -26.7
Settling Time: 10s
Time Between Measurements: 1s
Number of Measurements Per Step: 5
Alibava
ISO7

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4363651
C34 Sep 21 2016 15:30:00/A02  /K/M

Keithley Current Range: 1.05uA (Auto on)
Keithley Source Voltage Range: 1.1kV
Compliance Level: 30uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
17:20:35.794	0E+0	4.907063E-10
17:20:37.509	0E+0	6.088839E-10
17:20:39.221	0E+0	6.859058E-10
17:20:40.933	0E+0	3.759278E-10
17:20:42.646	0E+0	6.258047E-10
17:20:53.367	-5E+1	-1.710189E-9
17:20:55.081	-5E+1	-1.385438E-9
17:20:56.793	-5E+1	-1.359418E-9
17:20:58.505	-5E+1	-1.372941E-9
17:21:00.217	-5E+1	-1.18365E-9
17:21:10.677	-1E+2	8.964165E-10
17:21:11.850	-1E+2	-2.590671E-10
17:21:13.018	-1E+2	-2.600969E-10
17:21:14.186	-1E+2	-1.939785E-11
17:21:15.355	-1E+2	-1.608351E-9
17:21:25.541	-1.5E+2	-3.047301E-9
17:21:26.725	-1.5E+2	-3.641759E-9
17:21:27.908	-1.5E+2	-7.552223E-10
17:21:29.092	-1.5E+2	-7.692759E-10
17:21:30.269	-1.5E+2	-1.513544E-9
17:21:40.455	-2E+2	-3.611155E-9
17:21:41.638	-2E+2	-4.15341E-9
17:21:42.822	-2E+2	-4.401661E-9
17:21:44.005	-2E+2	-2.652703E-9
17:21:45.181	-2E+2	-2.901447E-9
17:21:55.366	-2.5E+2	-4.298794E-9
17:21:56.551	-2.5E+2	-5.781691E-9
17:21:57.736	-2.5E+2	-3.013762E-9
17:21:58.919	-2.5E+2	-1.732326E-9
17:22:00.095	-2.5E+2	-2.09679E-9
17:22:10.280	-3E+2	-5.677634E-9
17:22:11.464	-3E+2	-4.18852E-9
17:22:12.639	-3E+2	-3.467616E-9
17:22:13.808	-3E+2	-1.570796E-9
17:22:14.985	-3E+2	-4.255349E-9
17:22:25.178	-3.5E+2	-4.883869E-9
17:22:26.352	-3.5E+2	-4.675765E-9
17:22:27.520	-3.5E+2	-4.557994E-9
17:22:28.689	-3.5E+2	-4.115591E-9
17:22:29.865	-3.5E+2	-1.245154E-9
17:22:40.047	-4E+2	-4.055128E-9
17:22:41.217	-4E+2	-2.965793E-9
17:22:42.385	-4E+2	-2.706041E-9
17:22:43.562	-4E+2	-3.710223E-9
17:22:44.746	-4E+2	-4.816846E-9
17:22:54.939	-4.5E+2	-4.666187E-9
17:22:56.123	-4.5E+2	-2.604323E-9
17:22:57.307	-4.5E+2	-3.56602E-9
17:22:58.492	-4.5E+2	-4.305627E-9
17:22:59.676	-4.5E+2	-1.152541E-9
17:23:09.860	-5E+2	-5.133915E-9
17:23:11.037	-5E+2	-5.096682E-9
17:23:12.214	-5E+2	-4.386365E-9
17:23:13.390	-5E+2	-3.056997E-9
17:23:14.566	-5E+2	-2.654892E-9
17:23:24.753	-5.5E+2	-4.058688E-9
17:23:25.937	-5.5E+2	-5.167818E-9
17:23:27.121	-5.5E+2	-4.999726E-9
17:23:28.305	-5.5E+2	-2.089169E-9
17:23:29.489	-5.5E+2	-4.494519E-9
17:23:39.673	-6E+2	-4.446087E-9
17:23:40.843	-6E+2	-6.24E-9
17:23:42.020	-6E+2	-5.215506E-9
17:23:43.196	-6E+2	-3.845698E-9
17:23:44.372	-6E+2	-6.19375E-9
17:23:54.566	-6.5E+2	-8.125019E-9
17:23:55.750	-6.5E+2	-6.157118E-9
17:23:56.934	-6.5E+2	-5.110909E-9
17:23:58.110	-6.5E+2	-6.013682E-9
17:23:59.287	-6.5E+2	-6.582824E-9
17:24:09.480	-7E+2	-7.237793E-9
17:24:10.664	-7E+2	-9.041565E-9
17:24:11.840	-7E+2	-9.689527E-9
17:24:13.017	-7E+2	-6.208049E-9
17:24:14.201	-7E+2	-7.804824E-9
17:24:24.396	-7.5E+2	-1.069875E-8
17:24:25.579	-7.5E+2	-1.148114E-8
17:24:26.763	-7.5E+2	-9.368395E-9
17:24:27.947	-7.5E+2	-1.083254E-8
17:24:29.124	-7.5E+2	-1.177377E-8
17:24:39.310	-8E+2	-1.60868E-8
17:24:40.494	-8E+2	-1.352483E-8
17:24:41.679	-8E+2	-1.703793E-8
17:24:42.863	-8E+2	-1.591713E-8
17:24:44.038	-8E+2	-1.37409E-8
17:24:54.224	-8.5E+2	-2.400046E-8
17:24:55.409	-8.5E+2	-2.286054E-8
17:24:56.593	-8.5E+2	-2.172295E-8
17:24:57.768	-8.5E+2	-2.067616E-8
17:24:58.945	-8.5E+2	-2.167626E-8
17:25:09.139	-9E+2	-3.032511E-8
17:25:10.315	-9E+2	-2.998199E-8
17:25:11.492	-9E+2	-3.27131E-8
17:25:12.676	-9E+2	-3.046618E-8
17:25:13.852	-9E+2	-3.020552E-8
17:25:24.040	-9.5E+2	-4.615168E-8
17:25:25.213	-9.5E+2	-4.364031E-8
17:25:26.390	-9.5E+2	-4.579928E-8
17:25:27.575	-9.5E+2	-4.238533E-8
17:25:28.751	-9.5E+2	-4.352002E-8
17:25:38.937	-1E+3	-6.301678E-8
17:25:40.120	-1E+3	-6.181696E-8
17:25:41.296	-1E+3	-6.144764E-8
17:25:42.464	-1E+3	-5.986903E-8
17:25:43.634	-1E+3	-5.88708E-8
