ATLAS17Mini 17p5 MRad
IV Measurement
Measurement started at 19:16:33.817 29/10/2018 by etjr(Kostas) on epllt004.bham.ac.uk.

-26.4 C
Alibava
ISO5

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4363651
C34 Sep 21 2016 15:30:00/A02  /K/M

Keithley Current Range: 1.05uA (Auto on)
Keithley Source Voltage Range: 1.1kV (Auto on)
Compliance Level: 1uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
19:16:33.817	0E+0	3.596839E-9
19:16:34.989	0E+0	3.825722E-9
19:16:36.157	0E+0	6.085134E-10
19:16:37.325	0E+0	4.248271E-9
19:16:38.492	0E+0	5.695944E-9
19:16:48.676	-5E+1	-6.968923E-10
19:16:49.855	-5E+1	7.279432E-10
19:16:51.039	-5E+1	2.215652E-9
19:16:52.223	-5E+1	-9.60384E-10
19:16:53.406	-5E+1	3.162979E-10
19:17:03.597	-1E+2	1.437939E-10
19:17:04.777	-1E+2	-1.895849E-9
19:17:05.961	-1E+2	9.305715E-10
19:17:07.136	-1E+2	-2.899643E-9
19:17:08.312	-1E+2	-6.466128E-10
19:17:18.505	-1.5E+2	-2.102669E-9
19:17:19.685	-1.5E+2	-3.000213E-9
19:17:20.869	-1.5E+2	1.278055E-10
19:17:22.052	-1.5E+2	-2.056751E-9
19:17:23.236	-1.5E+2	-2.270626E-9
19:17:33.426	-2E+2	-4.738177E-9
19:17:34.599	-2E+2	-3.291986E-9
19:17:35.776	-2E+2	-1.075543E-9
19:17:36.959	-2E+2	-2.924432E-9
19:17:38.142	-2E+2	-5.604717E-10
19:17:48.331	-2.5E+2	-3.574638E-9
19:17:49.513	-2.5E+2	-4.995924E-9
19:17:50.697	-2.5E+2	-2.746575E-9
19:17:51.880	-2.5E+2	-1.819728E-9
19:17:53.063	-2.5E+2	-2.647074E-9
19:18:03.253	-3E+2	-5.166254E-9
19:18:04.436	-3E+2	-3.050955E-9
19:18:05.611	-3E+2	-3.291016E-9
19:18:06.787	-3E+2	-3.255613E-9
19:18:07.971	-3E+2	-3.547712E-9
19:18:18.162	-3.5E+2	-2.504309E-9
19:18:19.342	-3.5E+2	-3.787438E-9
19:18:20.526	-3.5E+2	-2.908968E-9
19:18:21.710	-3.5E+2	-1.847504E-9
19:18:22.893	-3.5E+2	-1.539303E-9
19:18:33.084	-4E+2	-5.066611E-9
19:18:34.265	-4E+2	-3.152422E-9
19:18:35.440	-4E+2	-3.888819E-9
19:18:36.616	-4E+2	-4.068199E-9
19:18:37.800	-4E+2	-3.153293E-9
19:18:47.990	-4.5E+2	-4.877479E-9
19:18:49.173	-4.5E+2	-3.430401E-9
19:18:50.356	-4.5E+2	-3.902779E-9
19:18:51.540	-4.5E+2	-1.262324E-9
19:18:52.724	-4.5E+2	-3.47119E-9
19:19:02.914	-5E+2	-4.471939E-9
19:19:04.095	-5E+2	-1.523102E-9
19:19:05.279	-5E+2	-4.674594E-9
19:19:06.454	-5E+2	-3.025723E-9
19:19:07.630	-5E+2	-4.122223E-9
19:19:17.821	-5.5E+2	-6.140951E-9
19:19:19.002	-5.5E+2	-3.602539E-9
19:19:20.186	-5.5E+2	-2.963862E-9
19:19:21.370	-5.5E+2	-5.411198E-9
19:19:22.553	-5.5E+2	-2.891648E-9
19:19:32.745	-6E+2	-4.617279E-9
19:19:33.926	-6E+2	-5.796701E-9
19:19:35.109	-6E+2	-4.305095E-9
19:19:36.293	-6E+2	-6.279985E-9
19:19:37.476	-6E+2	-3.65047E-9
19:19:47.664	-6.5E+2	-6.605303E-9
19:19:48.848	-6.5E+2	-7.942901E-9
19:19:50.032	-6.5E+2	-6.220358E-9
19:19:51.216	-6.5E+2	-5.752632E-9
19:19:52.400	-6.5E+2	-6.113126E-9
19:20:02.591	-7E+2	-1.092775E-8
19:20:03.770	-7E+2	-7.944822E-9
19:20:04.955	-7E+2	-1.065571E-8
19:20:06.138	-7E+2	-7.074269E-9
19:20:07.322	-7E+2	-9.500011E-9
19:20:17.512	-7.5E+2	-1.368197E-8
19:20:18.694	-7.5E+2	-1.307736E-8
19:20:19.878	-7.5E+2	-1.159724E-8
19:20:21.061	-7.5E+2	-1.391764E-8
19:20:22.245	-7.5E+2	-1.200887E-8
19:20:32.436	-8E+2	-1.806967E-8
19:20:33.617	-8E+2	-1.794247E-8
19:20:34.801	-8E+2	-1.865881E-8
19:20:35.984	-8E+2	-1.711176E-8
19:20:37.168	-8E+2	-1.936176E-8
19:20:47.359	-8.5E+2	-2.764758E-8
19:20:48.540	-8.5E+2	-2.421334E-8
19:20:49.724	-8.5E+2	-2.718616E-8
19:20:50.907	-8.5E+2	-2.746723E-8
19:20:52.091	-8.5E+2	-2.375718E-8
19:21:02.283	-9E+2	-3.846197E-8
19:21:03.462	-9E+2	-3.514286E-8
19:21:04.638	-9E+2	-3.729641E-8
19:21:05.806	-9E+2	-3.763396E-8
19:21:06.982	-9E+2	-3.413952E-8
19:21:17.174	-9.5E+2	-5.249617E-8
19:21:18.344	-9.5E+2	-5.037446E-8
19:21:19.521	-9.5E+2	-5.203102E-8
19:21:20.704	-9.5E+2	-5.012154E-8
19:21:21.888	-9.5E+2	-4.855876E-8
19:21:32.079	-1E+3	-6.941198E-8
19:21:33.261	-1E+3	-6.80888E-8
19:21:34.444	-1E+3	-6.934568E-8
19:21:35.619	-1E+3	-6.756968E-8
19:21:36.796	-1E+3	-7.015942E-8
