ATLAS17_35Mrad 
IV Measurement
Measurement started at 19:14:30.800 30/10/2018 by Cameron(Kostas) on epllt004.bham.ac.uk.

-26.3C
Alibava
IS07

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4363651
C34 Sep 21 2016 15:30:00/A02  /K/M

Keithley Current Range: 105uA
Keithley Source Voltage Range: 1.1kV
Compliance Level: 30uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
19:14:30.800	0E+0	1.321432E-8
19:14:31.969	0E+0	8.250611E-9
19:14:33.136	0E+0	1.562608E-8
19:14:34.303	0E+0	-4.554537E-9
19:14:35.471	0E+0	1.674957E-9
19:14:45.651	-5E+1	1.032851E-8
19:14:46.823	-5E+1	-1.261109E-8
19:14:47.991	-5E+1	8.192877E-9
19:14:49.159	-5E+1	-3.492586E-10
19:14:50.326	-5E+1	-1.171638E-8
19:15:00.508	-1E+2	2.573709E-9
19:15:01.680	-1E+2	-7.738878E-10
19:15:02.848	-1E+2	-1.649093E-8
19:15:04.014	-1E+2	1.361002E-8
19:15:05.182	-1E+2	-1.057017E-8
19:15:15.365	-1.5E+2	-1.084641E-8
19:15:16.544	-1.5E+2	-1.572819E-8
19:15:17.719	-1.5E+2	1.15034E-8
19:15:18.895	-1.5E+2	9.837856E-9
19:15:20.078	-1.5E+2	-7.032533E-9
19:15:30.267	-2E+2	-9.646588E-9
19:15:31.439	-2E+2	-9.992952E-9
19:15:32.615	-2E+2	7.467328E-9
19:15:33.791	-2E+2	-7.234569E-9
19:15:34.966	-2E+2	-1.386455E-8
19:15:45.154	-2.5E+2	4.845329E-9
19:15:46.327	-2.5E+2	2.03778E-9
19:15:47.503	-2.5E+2	6.745836E-9
19:15:48.687	-2.5E+2	-1.637297E-10
19:15:49.870	-2.5E+2	-1.064849E-8
19:16:00.048	-3E+2	3.752778E-9
19:16:01.224	-3E+2	-9.757895E-9
19:16:02.399	-3E+2	-4.142223E-9
19:16:03.574	-3E+2	5.084395E-9
19:16:04.749	-3E+2	-9.885698E-9
19:16:14.928	-3.5E+2	2.862323E-9
19:16:16.111	-3.5E+2	-5.148264E-9
19:16:17.295	-3.5E+2	-9.411549E-9
19:16:18.478	-3.5E+2	-7.135617E-9
19:16:19.653	-3.5E+2	3.777534E-9
19:16:29.834	-4E+2	1.48945E-9
19:16:31.007	-4E+2	1.114278E-9
19:16:32.183	-4E+2	4.587821E-10
19:16:33.358	-4E+2	-6.978923E-9
19:16:34.526	-4E+2	3.080812E-9
19:16:44.707	-4.5E+2	-7.663355E-9
19:16:45.879	-4.5E+2	-1.101286E-10
19:16:47.055	-4.5E+2	2.346986E-9
19:16:48.238	-4.5E+2	-5.267831E-9
19:16:49.422	-4.5E+2	-9.312593E-9
19:16:59.611	-5E+2	-6.306865E-9
19:17:00.783	-5E+2	-8.422026E-9
19:17:01.951	-5E+2	-2.216817E-9
19:17:03.126	-5E+2	1.114295E-9
19:17:04.301	-5E+2	-7.696347E-9
19:17:14.483	-5.5E+2	-5.100429E-10
19:17:15.663	-5.5E+2	6.319327E-10
19:17:16.846	-5.5E+2	-4.505051E-9
19:17:18.030	-5.5E+2	-8.026202E-9
19:17:19.213	-5.5E+2	-2.767386E-11
19:17:29.402	-6E+2	-1.223254E-9
19:17:30.583	-6E+2	-1.804551E-9
19:17:31.758	-6E+2	-1.161417E-9
19:17:32.933	-6E+2	-7.502557E-9
19:17:34.108	-6E+2	-2.338136E-10
19:17:44.292	-6.5E+2	-5.952269E-9
19:17:45.471	-6.5E+2	-6.158423E-9
19:17:46.654	-6.5E+2	-2.472424E-9
19:17:47.837	-6.5E+2	-7.255184E-9
19:17:49.012	-6.5E+2	-5.008078E-9
19:17:59.195	-7E+2	-4.092747E-9
19:18:00.375	-7E+2	-2.707416E-9
19:18:01.558	-7E+2	-7.387106E-9
19:18:02.733	-7E+2	-5.560576E-9
19:18:03.909	-7E+2	-2.864075E-9
19:18:14.095	-7.5E+2	-4.946236E-9
19:18:15.279	-7.5E+2	-9.687821E-9
19:18:16.453	-7.5E+2	-8.063279E-9
19:18:17.621	-7.5E+2	-3.589724E-9
19:18:18.797	-7.5E+2	-8.129279E-9
19:18:28.987	-8E+2	-9.976437E-9
19:18:30.167	-8E+2	-1.344811E-8
19:18:31.342	-8E+2	-9.964031E-9
19:18:32.517	-8E+2	-7.288159E-9
19:18:33.692	-8E+2	-1.35553E-8
19:18:43.873	-8.5E+2	-1.33986E-8
19:18:45.054	-8.5E+2	-1.541892E-8
19:18:46.230	-8.5E+2	-2.013995E-8
19:18:47.405	-8.5E+2	-1.397174E-8
19:18:48.580	-8.5E+2	-1.760004E-8
19:18:58.760	-9E+2	-2.766872E-8
19:18:59.942	-9E+2	-2.298903E-8
19:19:01.126	-9E+2	-2.699241E-8
19:19:02.309	-9E+2	-2.574323E-8
19:19:03.484	-9E+2	-2.520726E-8
19:19:13.665	-9.5E+2	-4.141091E-8
19:19:14.846	-9.5E+2	-3.831468E-8
19:19:16.030	-9.5E+2	-3.676023E-8
19:19:17.213	-9.5E+2	-3.627358E-8
19:19:18.396	-9.5E+2	-4.018658E-8
19:19:28.586	-1E+3	-5.765625E-8
19:19:29.758	-1E+3	-5.79367E-8
19:19:30.934	-1E+3	-5.448559E-8
19:19:32.109	-1E+3	-5.359491E-8
19:19:33.276	-1E+3	-5.789104E-8
