52p5MRad_PreAnneal
IV Measurement
Measurement started at 17:36:56.208 07/11/2018 by Cameron(Kostas) on epllt004.bham.ac.uk.

-24.4C
Alibava
ISO7

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4363651
C34 Sep 21 2016 15:30:00/A02  /K/M

Keithley Current Range: 1.05uA (Auto on)
Keithley Source Voltage Range: 1.1kV
Compliance Level: 30uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
17:36:56.208	0E+0	1.17716E-9
17:36:57.917	0E+0	8.088796E-10
17:36:59.628	0E+0	1.065152E-9
17:37:01.338	0E+0	8.015767E-10
17:37:03.048	0E+0	9.650613E-10
17:37:13.787	-5E+1	-1.628517E-9
17:37:15.499	-5E+1	-1.398859E-9
17:37:17.210	-5E+1	-1.32046E-9
17:37:18.920	-5E+1	-1.163114E-9
17:37:20.630	-5E+1	-1.082646E-9
17:37:31.355	-1E+2	-2.548748E-9
17:37:33.064	-1E+2	-2.259785E-9
17:37:34.774	-1E+2	-2.014721E-9
17:37:36.485	-1E+2	-2.137725E-9
17:37:38.195	-1E+2	-1.974227E-9
17:37:48.915	-1.5E+2	-3.487005E-9
17:37:50.628	-1.5E+2	-3.166419E-9
17:37:52.339	-1.5E+2	-2.686107E-9
17:37:54.050	-1.5E+2	-2.580241E-9
17:37:55.761	-1.5E+2	-2.201977E-9
17:38:06.496	-2E+2	-4.04878E-9
17:38:08.210	-2E+2	-3.501523E-9
17:38:09.921	-2E+2	-3.054193E-9
17:38:11.630	-2E+2	-3.044396E-9
17:38:13.340	-2E+2	-2.927619E-9
17:38:24.077	-2.5E+2	-4.377727E-9
17:38:25.791	-2.5E+2	-3.865797E-9
17:38:27.502	-2.5E+2	-3.832138E-9
17:38:29.212	-2.5E+2	-3.34773E-9
17:38:30.922	-2.5E+2	-3.082705E-9
17:38:41.643	-3E+2	-4.46941E-9
17:38:43.356	-3E+2	-4.140625E-9
17:38:45.066	-3E+2	-4.021513E-9
17:38:46.776	-3E+2	-3.723243E-9
17:38:48.487	-3E+2	-3.280006E-9
17:38:59.213	-3.5E+2	-4.618679E-9
17:39:00.928	-3.5E+2	-4.203831E-9
17:39:02.639	-3.5E+2	-3.758292E-9
17:39:04.350	-3.5E+2	-3.746237E-9
17:39:06.061	-3.5E+2	-3.69542E-9
17:39:16.784	-4E+2	-4.585954E-9
17:39:18.502	-4E+2	-4.467709E-9
17:39:20.213	-4E+2	-4.113692E-9
17:39:21.924	-4E+2	-3.806323E-9
17:39:23.635	-4E+2	-3.632704E-9
17:39:34.359	-4.5E+2	-4.78104E-9
17:39:36.075	-4.5E+2	-4.351543E-9
17:39:37.787	-4.5E+2	-4.223601E-9
17:39:39.498	-4.5E+2	-3.74097E-9
17:39:41.209	-4.5E+2	-3.610513E-9
17:39:51.932	-5E+2	-4.777957E-9
17:39:53.649	-5E+2	-4.297913E-9
17:39:55.361	-5E+2	-4.248038E-9
17:39:57.072	-5E+2	-4.091447E-9
17:39:58.782	-5E+2	-3.994335E-9
17:40:09.504	-5.5E+2	-4.798696E-9
17:40:11.221	-5.5E+2	-4.726579E-9
17:40:12.932	-5.5E+2	-4.56349E-9
17:40:14.643	-5.5E+2	-4.282874E-9
17:40:16.353	-5.5E+2	-4.265117E-9
17:40:27.074	-6E+2	-5.137076E-9
17:40:28.792	-6E+2	-5.176589E-9
17:40:30.503	-6E+2	-5.007169E-9
17:40:32.213	-6E+2	-4.779967E-9
17:40:33.923	-6E+2	-4.580397E-9
17:40:44.646	-6.5E+2	-6.166141E-9
17:40:46.361	-6.5E+2	-5.592881E-9
17:40:48.072	-6.5E+2	-5.55884E-9
17:40:49.783	-6.5E+2	-5.391451E-9
17:40:51.494	-6.5E+2	-5.442039E-9
17:41:02.219	-7E+2	-7.397912E-9
17:41:03.936	-7E+2	-7.28052E-9
17:41:05.647	-7E+2	-7.14416E-9
17:41:07.358	-7E+2	-6.878396E-9
17:41:09.069	-7E+2	-6.756264E-9
17:41:19.797	-7.5E+2	-9.969627E-9
17:41:21.511	-7.5E+2	-9.734098E-9
17:41:23.222	-7.5E+2	-9.621472E-9
17:41:24.933	-7.5E+2	-9.590718E-9
17:41:26.643	-7.5E+2	-9.474835E-9
17:41:37.368	-8E+2	-1.49714E-8
17:41:39.086	-8E+2	-1.458158E-8
17:41:40.797	-8E+2	-1.45397E-8
17:41:42.508	-8E+2	-1.456967E-8
17:41:44.219	-8E+2	-1.425154E-8
17:41:54.933	-8.5E+2	-2.244166E-8
17:41:56.644	-8.5E+2	-2.219887E-8
17:41:58.356	-8.5E+2	-2.218974E-8
17:42:00.067	-8.5E+2	-2.199777E-8
17:42:01.778	-8.5E+2	-2.19483E-8
17:42:12.492	-9E+2	-3.317194E-8
17:42:14.203	-9E+2	-3.295169E-8
17:42:15.914	-9E+2	-3.270481E-8
17:42:17.625	-9E+2	-3.268354E-8
17:42:19.336	-9E+2	-3.263241E-8
17:42:30.063	-9.5E+2	-4.761262E-8
17:42:31.778	-9.5E+2	-4.746761E-8
17:42:33.489	-9.5E+2	-4.742249E-8
17:42:35.200	-9.5E+2	-4.710955E-8
17:42:36.911	-9.5E+2	-4.694213E-8
17:42:47.639	-1E+3	-6.747009E-8
17:42:49.353	-1E+3	-6.72865E-8
17:42:51.064	-1E+3	-6.700841E-8
17:42:52.775	-1E+3	-6.697777E-8
17:42:54.485	-1E+3	-6.68061E-8
