70Mrad_PreAnnealing
IV Measurement
Measurement started at 17:52:12.432 01/11/2018 by Cameron(Kostas) on epllt004.bham.ac.uk.

-23.7
Alibava
ISO7

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4363651
C34 Sep 21 2016 15:30:00/A02  /K/M

Keithley Current Range: 105uA
Keithley Source Voltage Range: 1.1kV
Compliance Level: 30uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
17:52:12.432	0E+0	2.020227E-8
17:52:13.599	0E+0	-1.152262E-8
17:52:14.765	0E+0	-1.265649E-8
17:52:15.932	0E+0	-1.524201E-9
17:52:17.099	0E+0	1.921293E-8
17:52:27.275	-5E+1	-1.759592E-8
17:52:28.447	-5E+1	1.351942E-8
17:52:29.622	-5E+1	-7.049027E-9
17:52:30.797	-5E+1	-1.876691E-8
17:52:31.972	-5E+1	1.866453E-8
17:52:42.157	-1E+2	7.98271E-9
17:52:43.328	-1E+2	-1.496539E-8
17:52:44.494	-1E+2	3.843518E-9
17:52:45.661	-1E+2	-1.944719E-9
17:52:46.836	-1E+2	1.004815E-8
17:52:57.021	-1.5E+2	-6.760405E-9
17:52:58.201	-1.5E+2	9.652362E-9
17:52:59.376	-1.5E+2	-1.770732E-8
17:53:00.544	-1.5E+2	6.67991E-9
17:53:01.719	-1.5E+2	2.981875E-9
17:53:11.906	-2E+2	2.388217E-9
17:53:13.079	-2E+2	3.608493E-9
17:53:14.246	-2E+2	-1.381092E-8
17:53:15.413	-2E+2	9.287904E-10
17:53:16.581	-2E+2	-7.881906E-9
17:53:26.759	-2.5E+2	2.920034E-9
17:53:27.933	-2.5E+2	-1.289973E-8
17:53:29.100	-2.5E+2	6.284128E-9
17:53:30.276	-2.5E+2	-6.364596E-9
17:53:31.460	-2.5E+2	-1.454902E-8
17:53:41.647	-3E+2	-1.235137E-8
17:53:42.818	-3E+2	3.027224E-9
17:53:43.985	-3E+2	-3.486648E-9
17:53:45.153	-3E+2	1.46061E-9
17:53:46.328	-3E+2	-1.065261E-8
17:53:56.514	-3.5E+2	-3.049597E-9
17:53:57.695	-3.5E+2	3.707454E-9
17:53:58.878	-3.5E+2	-7.803552E-9
17:54:00.061	-3.5E+2	-2.233309E-9
17:54:01.244	-3.5E+2	-2.690923E-9
17:54:11.431	-4E+2	-1.169579E-8
17:54:12.602	-4E+2	-5.280215E-9
17:54:13.770	-4E+2	2.619094E-9
17:54:14.946	-4E+2	-5.131765E-9
17:54:16.121	-4E+2	-8.274808E-10
17:54:26.298	-4.5E+2	-4.744193E-9
17:54:27.478	-4.5E+2	1.081322E-9
17:54:28.660	-4.5E+2	-9.366242E-9
17:54:29.834	-4.5E+2	5.123815E-10
17:54:31.010	-4.5E+2	-9.840401E-9
17:54:41.195	-5E+2	-6.005868E-9
17:54:42.365	-5E+2	-3.952561E-9
17:54:43.532	-5E+2	-4.64937E-9
17:54:44.707	-5E+2	-9.089948E-9
17:54:45.881	-5E+2	-8.151024E-10
17:54:56.057	-5.5E+2	-3.581479E-9
17:54:57.229	-5.5E+2	-8.092167E-9
17:54:58.404	-5.5E+2	-1.145254E-8
17:54:59.587	-5.5E+2	-2.558999E-9
17:55:00.769	-5.5E+2	-9.151797E-9
17:55:10.952	-6E+2	-1.532823E-8
17:55:12.126	-6E+2	-1.115568E-8
17:55:13.302	-6E+2	-1.267297E-8
17:55:14.477	-6E+2	-1.826801E-8
17:55:15.652	-6E+2	-1.73774E-8
17:55:25.840	-6.5E+2	-3.268254E-8
17:55:27.021	-6.5E+2	-3.57378E-8
17:55:28.204	-6.5E+2	-3.294221E-8
17:55:29.387	-6.5E+2	-3.363085E-8
17:55:30.563	-6.5E+2	-3.857433E-8
17:55:40.742	-7E+2	-7.965314E-8
17:55:41.915	-7E+2	-8.120355E-8
17:55:43.084	-7E+2	-7.607379E-8
17:55:44.259	-7E+2	-8.152064E-8
17:55:45.442	-7E+2	-8.116204E-8
17:55:55.628	-7.5E+2	-1.69063E-7
17:55:56.800	-7.5E+2	-1.684316E-7
17:55:57.975	-7.5E+2	-1.668742E-7
17:55:59.149	-7.5E+2	-1.587668E-7
17:56:00.325	-7.5E+2	-1.586803E-7
17:56:10.509	-8E+2	-3.218775E-7
17:56:11.680	-8E+2	-3.231982E-7
17:56:12.855	-8E+2	-3.171572E-7
17:56:14.037	-8E+2	-3.185438E-7
17:56:15.212	-8E+2	-3.122647E-7
17:56:25.390	-8.5E+2	-6.520145E-7
17:56:26.568	-8.5E+2	-6.444369E-7
17:56:27.742	-8.5E+2	-6.434473E-7
17:56:28.909	-8.5E+2	-6.379059E-7
17:56:30.084	-8.5E+2	-6.407765E-7
17:56:40.269	-9E+2	-1.374933E-6
17:56:41.439	-9E+2	-1.37464E-6
17:56:42.606	-9E+2	-1.366862E-6
17:56:43.782	-9E+2	-1.367182E-6
17:56:44.964	-9E+2	-1.359716E-6
17:56:55.148	-9.5E+2	-3.081448E-6
17:56:56.327	-9.5E+2	-3.077638E-6
17:56:57.502	-9.5E+2	-3.066275E-6
17:56:58.677	-9.5E+2	-3.064443E-6
17:56:59.859	-9.5E+2	-3.05459E-6
17:57:10.043	-1E+3	-7.023996E-6
17:57:11.215	-1E+3	-7.002443E-6
17:57:12.390	-1E+3	-6.978234E-6
17:57:13.573	-1E+3	-6.961876E-6
17:57:14.747	-1E+3	-6.943988E-6
