70Mrad_PreAnnealing_warm
IV Measurement
Measurement started at 17:13:10.273 02/11/2018 by Cameron(Kostas) on epllt004.bham.ac.uk.

17.7C
Alibava
ISO5

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4363651
C34 Sep 21 2016 15:30:00/A02  /K/M

Keithley Current Range: 1.05uA (Auto on)
Keithley Source Voltage Range: 1.1kV
Compliance Level: 30uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
17:13:10.273	0E+0	3.780507E-8
17:13:11.446	0E+0	3.635103E-8
17:13:12.612	0E+0	3.734116E-8
17:13:13.779	0E+0	3.543602E-8
17:13:14.948	0E+0	3.781245E-8
17:13:25.127	-5E+1	-6.70903E-8
17:13:26.308	-5E+1	-6.710968E-8
17:13:27.490	-5E+1	-6.675015E-8
17:13:28.673	-5E+1	-6.297586E-8
17:13:29.856	-5E+1	-6.615343E-8
17:13:40.056	-1E+2	-9.0935E-8
17:13:41.234	-1E+2	-8.865572E-8
17:13:42.417	-1E+2	-9.027327E-8
17:13:43.601	-1E+2	-9.097144E-8
17:13:44.783	-1E+2	-8.730326E-8
17:13:54.970	-1.5E+2	-1.078088E-7
17:13:56.148	-1.5E+2	-1.068052E-7
17:13:57.331	-1.5E+2	-1.06903E-7
17:13:58.514	-1.5E+2	-1.0536E-7
17:13:59.696	-1.5E+2	-1.028607E-7
17:14:09.882	-2E+2	-1.191932E-7
17:14:11.063	-2E+2	-1.204928E-7
17:14:12.245	-2E+2	-1.184888E-7
17:14:13.428	-2E+2	-1.204073E-7
17:14:14.611	-2E+2	-1.203144E-7
17:14:24.823	-2.5E+2	-1.330848E-7
17:14:26.005	-2.5E+2	-1.328723E-7
17:14:27.186	-2.5E+2	-1.323408E-7
17:14:28.369	-2.5E+2	-1.323595E-7
17:14:29.552	-2.5E+2	-1.301041E-7
17:14:39.734	-3E+2	-1.386114E-7
17:14:40.913	-3E+2	-1.395218E-7
17:14:42.096	-3E+2	-1.365339E-7
17:14:43.279	-3E+2	-1.392546E-7
17:14:44.461	-3E+2	-1.368804E-7
17:14:54.646	-3.5E+2	-1.437162E-7
17:14:55.822	-3.5E+2	-1.434918E-7
17:14:57.004	-3.5E+2	-1.42075E-7
17:14:58.187	-3.5E+2	-1.417598E-7
17:14:59.370	-3.5E+2	-1.432756E-7
17:15:09.555	-4E+2	-1.46415E-7
17:15:10.732	-4E+2	-1.460816E-7
17:15:11.915	-4E+2	-1.471775E-7
17:15:13.097	-4E+2	-1.466116E-7
17:15:14.279	-4E+2	-1.457707E-7
17:15:24.464	-4.5E+2	-1.525824E-7
17:15:25.647	-4.5E+2	-1.528364E-7
17:15:26.830	-4.5E+2	-1.493925E-7
17:15:28.013	-4.5E+2	-1.516844E-7
17:15:29.196	-4.5E+2	-1.497847E-7
17:15:39.380	-5E+2	-1.56847E-7
17:15:40.558	-5E+2	-1.56228E-7
17:15:41.740	-5E+2	-1.560761E-7
17:15:42.923	-5E+2	-1.570889E-7
17:15:44.106	-5E+2	-1.553299E-7
17:15:54.290	-5.5E+2	-1.625227E-7
17:15:55.467	-5.5E+2	-1.639724E-7
17:15:56.650	-5.5E+2	-1.62693E-7
17:15:57.832	-5.5E+2	-1.638847E-7
17:15:59.015	-5.5E+2	-1.63289E-7
17:16:09.213	-6E+2	-1.713111E-7
17:16:10.393	-6E+2	-1.705663E-7
17:16:11.575	-6E+2	-1.719681E-7
17:16:12.758	-6E+2	-1.692687E-7
17:16:13.940	-6E+2	-1.72111E-7
17:16:24.135	-6.5E+2	-1.946713E-7
17:16:25.318	-6.5E+2	-1.956597E-7
17:16:26.500	-6.5E+2	-1.97461E-7
17:16:27.684	-6.5E+2	-1.969858E-7
17:16:28.865	-6.5E+2	-1.966191E-7
17:16:39.049	-7E+2	-2.735257E-7
17:16:40.227	-7E+2	-2.751245E-7
17:16:41.410	-7E+2	-2.718155E-7
17:16:42.591	-7E+2	-2.721151E-7
17:16:43.774	-7E+2	-2.718974E-7
17:16:53.959	-7.5E+2	-3.899295E-7
17:16:55.137	-7.5E+2	-3.880427E-7
17:16:56.319	-7.5E+2	-3.892914E-7
17:16:57.502	-7.5E+2	-3.859844E-7
17:16:58.684	-7.5E+2	-3.881285E-7
17:17:08.867	-8E+2	-5.162406E-7
17:17:10.046	-8E+2	-5.157796E-7
17:17:11.229	-8E+2	-5.166758E-7
17:17:12.411	-8E+2	-5.125048E-7
17:17:13.594	-8E+2	-5.154514E-7
17:17:23.778	-8.5E+2	-6.470812E-7
17:17:24.955	-8.5E+2	-6.470347E-7
17:17:26.137	-8.5E+2	-6.431454E-7
17:17:27.320	-8.5E+2	-6.441904E-7
17:17:28.503	-8.5E+2	-6.418977E-7
17:17:38.714	-9E+2	-8.004885E-7
17:17:39.896	-9E+2	-7.998229E-7
17:17:41.079	-9E+2	-7.989191E-7
17:17:42.261	-9E+2	-7.957642E-7
17:17:43.445	-9E+2	-7.974355E-7
17:17:53.700	-9.5E+2	-1.003376E-6
17:17:54.951	-9.5E+2	-1.001215E-6
17:17:56.277	-9.5E+2	-1.002028E-6
17:17:57.747	-9.5E+2	-1.001652E-6
17:17:59.075	-9.5E+2	-1.001224E-6
17:18:09.290	-1E+3	-3.002291E-5
17:18:10.501	-1E+3	-3.000006E-5
17:18:11.676	-1E+3	-3.000017E-5
17:18:12.843	-1E+3	-3.000037E-5
17:18:14.009	-1E+3	-3.000035E-5
